trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,796.09,1195.77,333,0,0,0,1,0,1,vft_andy,1,1,Adaptacion,-0.5811915238697949,0.5811944180368661,6.169349809245595,399.67999999999995,66.67999999999995
1,460.17699999999996,788.8860000000001,333,0,0,0,1,0,1,vft_andy,2,2,Adaptacion,-0.8001000891340815,0.8004228867612913,6.258653475167247,328.7090000000001,-4.290999999999883
2,674.097,944.066,333,0,0,0,1,0,1,vft_andy,3,3,Adaptacion,-0.8161823187298501,0.8161823187298501,6.212427975641836,269.96900000000005,-63.03099999999995
3,692.592,965.0369999999999,333,0,0,0,1,0,1,vft_andy,4,4,Adaptacion,-0.1346150063431501,0.1719767244732881,6.259338997288152,272.44499999999994,-60.555000000000064
4,405.37,740.78,333,0,0,0,1,0,1,vft_andy,5,5,Adaptacion,-0.5016266399237329,0.5016266399237329,6.224119315654563,335.40999999999997,2.409999999999968
5,130.714,513.601,333,0,0,0,1,0,1,vft_andy,6,6,Adaptacion,-0.06769415544498045,0.195770971805583,6.2930232000207,382.887,49.887
6,539.13,910.796,333,0,0,0,1,0,1,vft_andy,7,7,Adaptacion,-0.07548186579060898,0.11703909225860493,6.216563680264159,371.66600000000005,38.666000000000054
7,668.8860000000001,1025.83,333,0,0,0,1,0,1,vft_andy,8,8,Adaptacion,-0.24144410548179554,0.2989787759132439,6.275892515617331,356.94399999999985,23.943999999999846
8,572.406,944.059,333,0,0,0,1,0,1,vft_andy,9,9,Adaptacion,-0.19899682832011747,0.2608046094910691,6.1728677521175,371.653,38.65300000000002
9,435.648,790.808,333,0,0,0,1,0,1,vft_andy,10,10,Adaptacion,-0.47192324262706986,0.4719339201702705,6.183428584440642,355.15999999999997,22.159999999999968
10,1233.81,1594.42,333,0,0,0,1,0,1,vft_andy,11,11,Adaptacion,-0.36241638206452365,0.3624170769038153,6.196545081790142,360.6100000000001,27.610000000000127
11,625.884,1086.56,333,0,0,0,1,0,1,vft_andy,12,12,Adaptacion,-0.15485574451149492,0.19906371469904327,6.2566515504016875,460.67599999999993,127.67599999999993
12,433.163,768.3580000000001,333,0,0,0,1,0,1,vft_andy,13,13,Adaptacion,0.1710849004786998,0.17116872631826235,6.1716197128229044,335.19500000000005,2.19500000000005
13,631.884,927.086,333,0,0,0,1,0,1,vft_andy,14,14,Adaptacion,-0.23793261995068588,0.23793261995068588,6.1737712801160125,295.202,-37.798
