trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,1288.86,1809.47,333,0,0,0,1,0,1,vft_constanza,1,1,Adaptacion,-2.3424519907827293,2.34245229497059,6.842839061205344,520.6100000000001,187.61000000000013
1,1115.87,1502.05,333,0,0,0,1,0,1,vft_constanza,2,2,Adaptacion,-1.1935903728842359,1.1935903728842359,6.260009155491305,386.18000000000006,53.180000000000064
2,717.135,1096.34,333,0,0,0,1,0,1,vft_constanza,3,3,Adaptacion,-1.4727646606521612,1.4727646606521612,6.232120262287948,379.2049999999999,46.20499999999993
3,871.595,1282.06,333,0,0,0,1,0,1,vft_constanza,4,4,Adaptacion,-2.194850809050891,2.194850809050891,6.464010664577132,410.4649999999999,77.46499999999992
4,772.8810000000001,1163.6,333,0,0,0,1,0,1,vft_constanza,5,5,Adaptacion,-1.4917887921852475,1.4917887921852475,6.181542717042587,390.7189999999998,57.718999999999824
5,347.454,733.7460000000001,333,0,0,0,1,0,1,vft_constanza,6,6,Adaptacion,-0.8117219031364513,0.8124112936476777,6.22301088228337,386.2920000000001,53.29200000000009
6,814.735,1240.02,333,0,0,0,1,0,1,vft_constanza,7,7,Adaptacion,-0.7424660668403398,0.7428842740534437,6.141404940365792,425.28499999999997,92.28499999999997
7,878.428,1282.68,333,0,0,0,1,0,1,vft_constanza,8,8,Adaptacion,-1.0582940326249077,1.0582940326249077,6.226666947027287,404.25200000000007,71.25200000000007
8,684.005,1071.98,333,0,0,0,1,0,1,vft_constanza,9,9,Adaptacion,-0.9549548827856533,0.9549553654262817,6.236272889036636,387.975,54.97500000000002
9,851.918,1254.42,333,0,0,0,1,0,1,vft_constanza,10,10,Adaptacion,-0.32159237293502,0.32159376364435255,6.20041470542367,402.50200000000007,69.50200000000007
10,561.247,944.9910000000001,333,0,0,0,1,0,1,vft_constanza,11,11,Adaptacion,-0.796773579591637,0.796774915840621,6.156379797587757,383.74400000000014,50.74400000000014
11,785.9989999999999,1165.02,333,0,0,0,1,0,1,vft_constanza,12,12,Adaptacion,-0.4828470971321501,0.4839618781528973,6.196530609279881,379.0210000000001,46.02100000000007
12,666.0239999999999,1036.85,333,0,0,0,1,0,1,vft_constanza,13,13,Adaptacion,-0.07813922919228411,0.17669082821124685,6.13436883190176,370.826,37.82600000000002
13,767.471,1178.24,333,0,0,0,1,0,1,vft_constanza,14,14,Adaptacion,-0.51420153671279,0.5148535213951709,6.206154394819658,410.769,77.769
14,712.0060000000001,1121.81,333,0,0,0,1,0,1,vft_constanza,15,15,Adaptacion,0.0677499246406534,0.07448306994964944,6.158788947210394,409.80399999999986,76.80399999999986
15,786.947,1159.96,333,0,0,0,1,0,1,vft_constanza,16,16,Adaptacion,-0.24358562356525262,0.3812191690781773,6.125458621670801,373.01300000000003,40.013000000000034
16,478.74300000000005,865.235,333,0,0,0,1,0,1,vft_constanza,17,17,Adaptacion,-0.44443631321465205,0.4646745167807842,6.124538833009426,386.49199999999996,53.49199999999996
17,635.469,993.237,333,0,0,0,1,0,1,vft_constanza,18,18,Adaptacion,-0.6776154772370451,0.677623190986107,6.128215154307474,357.7679999999999,24.767999999999915
18,1001.73,1422.21,333,0,0,0,1,0,1,vft_constanza,19,19,Adaptacion,-0.5272454277156704,0.5272459229652384,6.156288376322195,420.48,87.48000000000002
19,1010.73,1378.22,333,0,0,0,1,0,1,vft_constanza,20,20,Adaptacion,-0.14250732614570008,0.28892778918469664,6.156309435641823,367.49,34.49000000000001
