trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,772.845,1314.0,333,0,0,0,1,0,1,vft_gianni,1,1,Adaptacion,-0.5033568895070899,0.5033569859123228,6.20086800311295,541.155,208.15499999999997
1,538.145,1041.81,333,0,0,0,1,0,1,vft_gianni,2,2,Adaptacion,-0.07550084023343351,0.07764574593334654,6.123307892021362,503.66499999999996,170.66499999999996
2,493.41900000000004,895.063,333,0,0,0,1,0,1,vft_gianni,3,3,Adaptacion,-0.07067542978018332,0.19959793954233324,6.116371399877531,401.64399999999995,68.64399999999995
3,533.878,957.545,333,0,0,0,1,0,1,vft_gianni,4,4,Adaptacion,0.32219051744267907,0.3221929638191688,6.135672451343952,423.6669999999999,90.66699999999992
4,420.412,768.6010000000001,333,0,0,0,1,0,1,vft_gianni,5,5,Adaptacion,-0.4111910602248457,0.41121154404688814,6.132828372324786,348.18900000000014,15.189000000000135
5,376.184,748.378,333,0,0,0,1,0,1,vft_gianni,6,6,Adaptacion,0.14571849182453078,0.14577819423999838,6.1129727755470284,372.194,39.19400000000002
6,618.37,968.314,333,0,0,0,1,0,1,vft_gianni,7,7,Adaptacion,0.22388908787575507,0.22888774901098025,6.11420628279728,349.94399999999996,16.94399999999996
7,624.395,1023.3,333,0,0,0,1,0,1,vft_gianni,8,8,Adaptacion,0.22221578823292615,0.22223581759949362,6.107442510324745,398.905,65.90499999999997
8,429.17699999999996,758.1619999999999,333,0,0,0,1,0,1,vft_gianni,9,9,Adaptacion,-0.07402879344089018,0.2275992363542109,6.1550464378089345,328.98499999999996,-4.015000000000043
9,376.189,752.883,333,0,0,0,1,0,1,vft_gianni,10,10,Adaptacion,-0.30918933449290265,0.3134135008023061,6.214490219896048,376.694,43.69400000000002
10,396.644,697.56,333,0,0,0,1,0,1,vft_gianni,11,11,Adaptacion,0.21345640412504635,0.26428134719117297,6.1335178078911,300.91599999999994,-32.08400000000006
11,420.163,766.314,333,0,0,0,1,0,1,vft_gianni,12,12,Adaptacion,0.25134081928097846,0.25136752524137373,6.111246937932309,346.15099999999995,13.150999999999954
12,439.675,778.6139999999999,333,0,0,0,1,0,1,vft_gianni,13,13,Adaptacion,0.21651199460656304,0.2165178441264498,6.10792197047602,338.9389999999999,5.938999999999908
13,474.155,748.081,333,0,0,0,1,0,1,vft_gianni,14,14,Adaptacion,0.264649352276115,0.26741950035574746,6.1175044304332635,273.92600000000004,-59.073999999999955
14,380.452,694.86,333,0,0,0,1,0,1,vft_gianni,15,15,Adaptacion,0.53536989602185,0.53536989602185,6.117678542022125,314.408,-18.591999999999985
15,428.35400000000004,754.301,333,0,0,0,1,0,1,vft_gianni,16,16,Adaptacion,-0.5808692184931452,0.5808697275018344,6.209344607246251,325.947,-7.052999999999997
16,518.418,844.346,333,0,0,0,1,0,1,vft_gianni,17,17,Adaptacion,-0.14000031806854452,0.1400121355495879,6.101603377617016,325.928,-7.072000000000003
17,845.32,1183.51,333,0,0,0,1,0,1,vft_gianni,18,18,Adaptacion,0.46601614715284595,0.46602216697736176,6.117823484454195,338.18999999999994,5.189999999999941
18,684.557,1019.27,333,0,0,0,1,0,1,vft_gianni,19,19,Adaptacion,0.9044037204822601,0.9044037204822601,6.1489024593216906,334.71299999999997,1.7129999999999654
19,627.168,1015.83,333,0,0,0,1,0,1,vft_gianni,20,20,Adaptacion,-0.40552817453997514,0.40553486541618605,6.137191248830962,388.66200000000003,55.662000000000035
20,401.208,759.868,333,0,0,0,1,0,1,vft_gianni,21,21,Adaptacion,0.8478575274020899,0.8478575274020899,6.129487021807443,358.66,25.660000000000025
21,572.404,901.597,333,0,0,0,1,0,1,vft_gianni,22,22,Adaptacion,-0.19660200915628834,0.20609554140099176,6.171548369399357,329.193,-3.8070000000000164
22,377.152,764.069,333,0,0,0,1,0,1,vft_gianni,23,23,Adaptacion,0.9925601728787752,0.992563174637243,6.246833829131416,386.917,53.91699999999997
23,411.926,807.612,333,0,0,0,1,0,1,vft_gianni,24,24,Adaptacion,-0.2498960852933249,0.25062521907161106,6.137883574980499,395.686,62.68599999999998
24,515.91,832.8389999999999,333,0,0,0,1,0,1,vft_gianni,25,25,Adaptacion,0.015269320426974695,0.08126400339848981,6.126781520607304,316.929,-16.071000000000026
25,547.16,881.6,333,0,0,0,1,0,1,vft_gianni,26,26,Adaptacion,-0.010870042844434949,0.17092522896143342,6.160373694921585,334.44000000000005,1.4400000000000546
26,554.181,862.37,333,0,0,0,1,0,1,vft_gianni,27,27,Adaptacion,-0.20928792343621494,0.22031298725401566,6.14488785058899,308.18899999999996,-24.811000000000035
27,495.421,812.0939999999999,333,0,0,0,1,0,1,vft_gianni,28,28,Adaptacion,-0.1045382711374551,0.1275751453114261,6.15157745407433,316.67299999999994,-16.327000000000055
28,312.21,613.66,333,0,0,0,1,0,1,vft_gianni,29,29,Adaptacion,0.6369975554637929,0.6369975554637929,6.121154553007663,301.45,-31.55000000000001
29,1524.44,1841.63,333,0,0,0,1,0,1,vft_gianni,30,30,Adaptacion,0.38491601954096083,0.3849163866922126,6.1142673496748285,317.19000000000005,-15.809999999999945
30,462.64099999999996,1312.46,333,60,1,1,1,0,1,vft_gianni,31,1,VMR,11.784443303880554,11.784443303880554,9.35703878957952,849.8190000000001,516.8190000000001
31,389.666,1331.74,333,60,1,1,1,0,1,vft_gianni,32,2,VMR,10.833499129640604,10.833499129640604,9.07914497156185,942.0740000000001,609.0740000000001
32,418.87,1344.96,333,60,1,1,1,0,1,vft_gianni,33,3,VMR,18.044282680606006,18.044282680606006,10.934487401131713,926.09,593.09
33,441.656,2030.63,333,60,1,1,1,0,1,vft_gianni,34,4,VMR,-7.950577068230502,8.242320559293722,10.920790121126867,1588.9740000000002,1255.9740000000002
34,426.392,1042.79,333,60,1,1,1,0,1,vft_gianni,35,5,VMR,6.013716930202147,6.013716930202147,7.470893799011967,616.3979999999999,283.3979999999999
35,426.414,1086.56,333,60,1,1,1,0,1,vft_gianni,36,6,VMR,13.046742804066504,13.046742804066504,9.665227416413227,660.146,327.14599999999996
36,519.403,1127.04,333,60,1,1,1,0,1,vft_gianni,37,7,VMR,8.513221456118238,8.513221456118238,8.413417598752227,607.637,274.63699999999994
37,453.144,903.02,333,60,1,1,1,0,1,vft_gianni,38,8,VMR,9.507927384226804,9.507927384226804,8.39652997025458,449.876,116.87599999999998
38,1030.57,1386.5,333,60,1,1,1,0,1,vft_gianni,39,9,VMR,7.312291842716389,7.312291842716389,7.772436089514775,355.93000000000006,22.930000000000064
39,619.104,1078.03,333,60,1,1,1,0,1,vft_gianni,40,10,VMR,5.304231592076501,5.304231592076501,6.937556097738609,458.92599999999993,125.92599999999993
40,425.42699999999996,909.293,333,60,1,1,1,0,1,vft_gianni,41,11,VMR,6.481744613377942,6.481744613377942,8.012525117362634,483.86600000000004,150.86600000000004
41,469.66,866.046,333,60,1,1,1,0,1,vft_gianni,42,12,VMR,7.2610600535647665,7.2610600535647665,7.870658787121785,396.386,63.386000000000024
42,451.365,1042.24,333,60,1,1,1,0,1,vft_gianni,43,13,VMR,7.34857209487289,7.348898157881634,7.6824884473171196,590.875,257.875
43,508.365,956.5089999999999,333,60,1,1,1,0,1,vft_gianni,44,14,VMR,8.418170076140033,8.418170076140033,8.073800761325813,448.1439999999999,115.14399999999989
44,480.9,928.591,333,60,1,1,1,0,1,vft_gianni,45,15,VMR,11.372861246965325,11.372861246965325,9.034281640633418,447.69100000000003,114.69100000000003
45,611.379,1331.49,333,60,1,1,1,0,1,vft_gianni,46,16,VMR,14.333265886047835,14.291283273908128,10.78080943386125,720.111,387.111
46,1060.83,1507.25,333,60,1,1,1,0,1,vft_gianni,47,17,VMR,10.672361245652272,10.672361245652272,9.218090378279669,446.4200000000001,113.42000000000007
47,412.414,810.118,333,60,1,1,1,0,1,vft_gianni,48,18,VMR,6.743305477207403,6.761920015641924,7.68309884931036,397.70400000000006,64.70400000000006
48,357.468,854.58,333,60,1,1,1,0,1,vft_gianni,49,19,VMR,10.533315176167362,10.533315176167362,9.039145179879466,497.112,164.11200000000002
49,384.205,835.1080000000001,333,60,1,1,1,0,1,vft_gianni,50,20,VMR,6.975836952859478,6.975836952859478,8.422697112297332,450.9030000000001,117.90300000000008
50,428.158,948.307,333,60,1,1,1,0,1,vft_gianni,51,21,VMR,11.010792093086256,11.010792093086256,9.434865061118021,520.149,187.149
51,379.44199999999995,711.8560000000001,333,60,1,1,1,0,1,vft_gianni,52,22,VMR,5.06005873804664,5.06005873804664,7.048031007309264,332.41400000000016,-0.5859999999998422
52,414.418,863.347,333,60,1,1,1,0,1,vft_gianni,53,23,VMR,3.8564459129744098,3.8564459129744098,7.676298112534158,448.929,115.92899999999997
53,410.167,750.883,333,60,1,1,1,0,1,vft_gianni,54,24,VMR,3.0934722156528984,3.0934722156528984,6.564863415494024,340.71600000000007,7.716000000000065
54,507.897,903.582,333,60,1,1,1,0,1,vft_gianni,55,25,VMR,3.622904833221182,3.622904833221182,6.842371545680296,395.685,62.685
55,590.173,943.323,333,60,1,1,1,0,1,vft_gianni,56,26,VMR,3.894165683652911,3.894165683652911,6.890626159643698,353.15,20.149999999999977
56,393.17900000000003,800.3860000000001,333,60,1,1,1,0,1,vft_gianni,57,27,VMR,7.2674572054961475,7.2674572054961475,8.052870587523985,407.20700000000005,74.20700000000005
57,460.675,804.0939999999999,333,60,1,1,1,0,1,vft_gianni,58,28,VMR,2.006831469415881,2.0068317302887504,6.434571849100472,343.4189999999999,10.418999999999926
58,503.12800000000004,857.073,333,60,1,1,1,0,1,vft_gianni,59,29,VMR,2.0116130402909773,2.0116130402909773,6.710631063749543,353.94499999999994,20.944999999999936
59,367.13599999999997,763.809,333,60,1,1,1,0,1,vft_gianni,60,30,VMR,7.395055453358704,7.395055453358704,7.986127937255429,396.673,63.673
60,589.888,1107.02,333,0,0,2,1,0,1,vft_gianni,61,1,VMR-AfterEffects,-1.5691432882998244,1.5691432882998244,6.202914387475284,517.132,184.13199999999995
61,371.955,788.105,333,0,0,2,1,0,1,vft_gianni,62,2,VMR-AfterEffects,-0.7671504557668352,0.7921076171818369,6.327731385833788,416.15000000000003,83.15000000000003
62,466.408,771.8430000000001,333,0,0,2,1,0,1,vft_gianni,63,3,VMR-AfterEffects,-0.35802169560633496,0.3766253530417045,6.472797568054933,305.43500000000006,-27.56499999999994
63,384.92199999999997,763.8969999999999,333,0,0,2,1,0,1,vft_gianni,64,4,VMR-AfterEffects,-0.21373749911989587,0.51040976057681,6.576283202515333,378.97499999999997,45.974999999999966
64,342.161,630.346,333,0,0,2,1,0,1,vft_gianni,65,5,VMR-AfterEffects,-0.18620439841168024,0.26808659568378385,6.192470702689283,288.185,-44.815
65,353.208,617.395,333,0,0,2,1,0,1,vft_gianni,66,6,VMR-AfterEffects,0.5210911720133287,0.5210911720133287,6.131739469503567,264.18699999999995,-68.81300000000005
66,489.65,845.328,333,0,0,2,1,0,1,vft_gianni,67,7,VMR-AfterEffects,0.9887337490029201,0.9887337490029201,6.167538216834395,355.678,22.677999999999997
67,381.189,701.8739999999999,333,0,0,2,1,0,1,vft_gianni,68,8,VMR-AfterEffects,-0.06904827192660971,0.17411578994857793,6.147553622052214,320.6849999999999,-12.315000000000111
68,507.728,848.0880000000001,333,0,0,2,1,0,1,vft_gianni,69,9,VMR-AfterEffects,-0.321661078988805,0.3603307901705202,6.1625018744289815,340.36000000000007,7.3600000000000705
69,548.6519999999999,845.377,333,0,0,2,1,0,1,vft_gianni,70,10,VMR-AfterEffects,0.35901650829451015,0.3590494487705175,6.116083511571618,296.725,-36.27499999999998
70,339.471,622.427,333,0,0,2,1,0,1,vft_gianni,71,11,VMR-AfterEffects,1.1222328745489243,1.1222336986898427,6.292867294201949,282.956,-50.04399999999998
71,515.391,844.3380000000001,333,0,0,2,1,0,1,vft_gianni,72,12,VMR-AfterEffects,0.8854330642668746,0.8854330642668746,6.161173087401883,328.9470000000001,-4.052999999999884
72,421.93300000000005,691.571,333,0,0,2,1,0,1,vft_gianni,73,13,VMR-AfterEffects,0.28638187295045614,0.2863966182535176,6.126898796181425,269.638,-63.36200000000002
73,383.417,664.931,333,0,0,2,1,0,1,vft_gianni,74,14,VMR-AfterEffects,0.5060984797167349,0.50609854019633,6.117031667567301,281.51400000000007,-51.48599999999993
