trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,626.981,1280.17,333,0,0,0,1,0,1,vft_majo,1,1,Adaptacion,-0.14478286242180327,0.17272301220604921,6.170111479877175,653.1890000000001,320.1890000000001
1,599.238,1115.03,333,0,0,0,1,0,1,vft_majo,2,2,Adaptacion,-0.4447138070477895,0.4447156062372222,6.127689563559796,515.7919999999999,182.79199999999992
2,471.091,940.679,333,0,0,0,1,0,1,vft_majo,3,3,Adaptacion,0.32930036673283225,0.3457405972505231,6.136185150509437,469.58799999999997,136.58799999999997
3,419.32599999999996,743.238,333,0,0,0,1,0,1,vft_majo,4,4,Adaptacion,0.11246322190573406,0.13558813174936218,6.118466490527679,323.9120000000001,-9.087999999999909
4,411.35699999999997,816.7360000000001,333,0,0,0,1,0,1,vft_majo,5,5,Adaptacion,-0.4750446916375351,0.4758822520220807,6.136119501507359,405.37900000000013,72.37900000000013
5,344.63599999999997,745.273,333,0,0,0,1,0,1,vft_majo,6,6,Adaptacion,0.2548296345285476,0.2548296345285476,6.145401003887459,400.63700000000006,67.63700000000006
6,577.057,931.186,333,0,0,0,1,0,1,vft_majo,7,7,Adaptacion,0.07409068241237943,0.14386614601355524,6.121920982778731,354.129,21.12900000000002
7,571.571,943.69,333,0,0,0,1,0,1,vft_majo,8,8,Adaptacion,-0.5187576669491049,0.5187631066678479,6.131232134164747,372.119,39.11900000000003
8,387.119,724.5060000000001,333,0,0,0,1,0,1,vft_majo,9,9,Adaptacion,0.04791622862673524,0.09048196521026912,6.137179355232702,337.38700000000006,4.387000000000057
9,748.7869999999999,1101.7,333,0,0,0,1,0,1,vft_majo,10,10,Adaptacion,-0.1672104523024075,0.16723963029098843,6.096167116840787,352.9130000000001,19.913000000000125
10,516.885,834.046,333,0,0,0,1,0,1,vft_majo,11,11,Adaptacion,-0.4262473490686496,0.4262473490686496,6.140484371984935,317.16100000000006,-15.838999999999942
11,1291.89,1629.82,333,0,0,0,1,0,1,vft_majo,12,12,Adaptacion,-0.10115660092664351,0.10128351329778555,6.114522088529732,337.92999999999984,4.929999999999836
12,856.788,1191.74,333,0,0,0,1,0,1,vft_majo,13,13,Adaptacion,-0.08780034739014624,0.08781024577311698,6.13123684957452,334.952,1.9519999999999982
13,650.305,980.4810000000001,333,0,0,0,1,0,1,vft_majo,14,14,Adaptacion,-0.30617146820005,0.30617195156991983,6.105147639776372,330.17600000000016,-2.8239999999998417
14,623.0459999999999,979.187,333,0,0,0,1,0,1,vft_majo,15,15,Adaptacion,-0.317171247719381,0.3171772748784365,6.113420903858497,356.1410000000001,23.141000000000076
15,878.4780000000001,1219.37,333,0,0,0,1,0,1,vft_majo,16,16,Adaptacion,-0.3215281515146235,0.32153047308116056,6.1087203726930746,340.8919999999998,7.891999999999825
16,615.681,931.1560000000001,333,0,0,0,1,0,1,vft_majo,17,17,Adaptacion,-0.12997063946558396,0.12997063946558396,6.1032743048936755,315.475,-17.524999999999977
17,533.6669999999999,877.12,333,0,0,0,1,0,1,vft_majo,18,18,Adaptacion,-0.3019211146112091,0.304639553954738,6.10793605214383,343.4530000000001,10.453000000000088
18,819.383,1144.08,333,0,0,0,1,0,1,vft_majo,19,19,Adaptacion,-0.09531637905154008,0.20884883973312374,6.116965868607159,324.6969999999999,-8.303000000000111
19,720.941,1077.38,333,0,0,0,1,0,1,vft_majo,20,20,Adaptacion,-0.2003476755093503,0.20035529544341257,6.147399363704228,356.4390000000001,23.439000000000078
20,892.923,1248.4,333,0,0,0,1,0,1,vft_majo,21,21,Adaptacion,-0.08709038762529654,0.13533178136809482,6.11761982224408,355.4770000000001,22.47700000000009
21,586.413,897.11,333,0,0,0,1,0,1,vft_majo,22,22,Adaptacion,-0.2915883629879349,0.29159024739934236,6.1199200913582175,310.697,-22.302999999999997
22,732.6030000000001,1067.8,333,0,0,0,1,0,1,vft_majo,23,23,Adaptacion,0.11471895875538521,0.11932758555570619,6.145914458053098,335.1969999999999,2.196999999999889
23,565.125,949.574,333,0,0,0,1,0,1,vft_majo,24,24,Adaptacion,-0.23692340435617318,0.24130167071088193,6.12011582974947,384.44899999999996,51.448999999999955
24,822.352,1099.31,333,0,0,0,1,0,1,vft_majo,25,25,Adaptacion,-0.07548366969887509,0.09984727737057301,6.131877235980108,276.95799999999997,-56.04200000000003
