trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,489.9,965.7860000000001,333,0,0,0,1,0,1,vft_mariano,1,1,Adaptacion,-0.31001414950388506,0.8998964458305099,6.358657241194379,475.8860000000001,142.88600000000008
1,593.143,924.592,333,0,0,0,1,0,1,vft_mariano,2,2,Adaptacion,-0.6366670061636501,0.6366670061636501,6.1544063182033755,331.44899999999996,-1.5510000000000446
2,566.145,860.85,333,0,0,0,1,0,1,vft_mariano,3,3,Adaptacion,-0.11428695319720997,0.3515205349842624,6.196373820095516,294.70500000000004,-38.29499999999996
3,965.806,1315.24,333,0,0,0,1,0,1,vft_mariano,4,4,Adaptacion,-0.9803654834293131,0.9803654834293131,6.355520213361842,349.43399999999997,16.43399999999997
4,983.365,1322.04,333,0,0,0,1,0,1,vft_mariano,5,5,Adaptacion,-0.5454067611202509,0.5454457091801079,6.406508453876049,338.67499999999995,5.6749999999999545
5,535.12,914.0139999999999,333,0,0,0,1,0,1,vft_mariano,6,6,Adaptacion,-0.9978646364119954,0.9978656291628902,6.248028607054682,378.8939999999999,45.89399999999989
6,957.505,1273.7,333,0,0,0,1,0,1,vft_mariano,7,7,Adaptacion,-0.9040110312861198,0.9040110312861198,6.366061867540855,316.19500000000005,-16.80499999999995
7,756.847,1045.28,333,0,0,0,1,0,1,vft_mariano,8,8,Adaptacion,-0.263031434525835,0.3324272407584989,6.259867765927687,288.433,-44.56700000000001
8,741.35,1087.55,333,0,0,0,1,0,1,vft_mariano,9,9,Adaptacion,-0.6818201067913499,0.6818202080605508,6.1249651120990585,346.19999999999993,13.199999999999932
9,725.355,1040.27,333,0,0,0,1,0,1,vft_mariano,10,10,Adaptacion,-0.20023992849794367,0.20024131108593624,6.125596833985423,314.91499999999996,-18.085000000000036
10,656.5889999999999,1082.55,333,0,0,0,1,0,1,vft_mariano,11,11,Adaptacion,-1.217292191578008,1.217292191578008,6.3140772069651545,425.961,92.96100000000001
11,1025.83,1373.51,333,0,0,0,1,0,1,vft_mariano,12,12,Adaptacion,-0.5389883368571352,0.5389906588389686,6.222415756468461,347.68000000000006,14.680000000000064
12,755.117,1133.78,333,0,0,0,1,0,1,vft_mariano,13,13,Adaptacion,-0.7584790463634117,0.7584807086873564,6.184885680908453,378.663,45.66300000000001
13,1085.24,1439.7,333,0,0,0,1,0,1,vft_mariano,14,14,Adaptacion,-1.1363260248777551,1.1363727454164696,6.316273875815924,354.46000000000004,21.460000000000036
