trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,902.585,1494.04,333,0,0,0,1,0,1,vft_sebastian,1,1,Adaptacion,-1.1709331902325815,1.170955560990437,6.1907203042863665,591.4549999999999,258.4549999999999
1,891.357,1419.04,333,0,0,0,1,0,1,vft_sebastian,2,2,Adaptacion,-0.9902924086682352,0.9974392516465209,6.329712496895258,527.683,194.683
2,776.1060000000001,1206.58,333,0,0,0,1,0,1,vft_sebastian,3,3,Adaptacion,-1.070889843174845,1.070889843174845,6.171198559151893,430.4739999999998,97.47399999999982
3,809.148,1226.84,333,0,0,0,1,0,1,vft_sebastian,4,4,Adaptacion,-1.2792852008005666,1.2792852008005666,6.185770832074322,417.6919999999999,84.6919999999999
4,601.342,1041.28,333,0,0,0,1,0,1,vft_sebastian,5,5,Adaptacion,-0.7624120496559605,0.7624122181794964,6.128077957389374,439.938,106.93799999999999
5,606.887,980.546,333,0,0,0,1,0,1,vft_sebastian,6,6,Adaptacion,-0.9232469036868669,0.9232469036868669,6.138190910368113,373.6590000000001,40.659000000000106
6,804.877,1235.09,333,0,0,0,1,0,1,vft_sebastian,7,7,Adaptacion,-0.78128617099157,0.7812862368050422,6.136083406630545,430.21299999999997,97.21299999999997
7,1018.6,1418.23,333,0,0,0,1,0,1,vft_sebastian,8,8,Adaptacion,-1.0190703387291737,1.0190714594926666,6.194111295244012,399.63,66.63
8,886.5939999999999,1289.52,333,0,0,0,1,0,1,vft_sebastian,9,9,Adaptacion,-0.951455389800365,0.951455389800365,6.170164638703012,402.92600000000004,69.92600000000004
9,852.39,1258.79,333,0,0,0,1,0,1,vft_sebastian,10,10,Adaptacion,-1.094823662734525,1.094823662734525,6.180238725911783,406.4,73.39999999999998
10,660.37,1041.36,333,0,0,0,1,0,1,vft_sebastian,11,11,Adaptacion,-1.114472812553415,1.114472812553415,6.24261591345768,380.9899999999999,47.989999999999895
11,696.8939999999999,1052.1,333,0,0,0,1,0,1,vft_sebastian,12,12,Adaptacion,-0.5939619548679199,0.595279878344114,6.128915327665937,355.206,22.206000000000017
12,757.6310000000001,1150.8,333,0,0,0,1,0,1,vft_sebastian,13,13,Adaptacion,-0.908949952033581,0.9089531684486959,6.159122638601069,393.16899999999987,60.16899999999987
13,90.9596,546.205,333,0,0,0,1,0,1,vft_sebastian,14,14,Adaptacion,-0.6107919512259159,0.6108213723262436,6.1913917053352865,455.2454,122.24540000000002
14,1022.86,1384.09,333,0,0,0,1,0,1,vft_sebastian,15,15,Adaptacion,-0.8070293621090974,0.8070293621090974,6.252284403731061,361.2299999999999,28.229999999999905
15,824.1160000000001,1235.3,333,0,0,0,1,0,1,vft_sebastian,16,16,Adaptacion,-0.7209227786973345,0.7209227786973345,6.168202147464892,411.18399999999986,78.18399999999986
16,672.1669999999999,1068.59,333,0,0,0,1,0,1,vft_sebastian,17,17,Adaptacion,-0.8888843491301851,0.8888863952076516,6.164218111245675,396.423,63.423
