trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,blockTrialSuccessN,blockName,area_error,area_error_abs,d,reproduced_period,temporal_error
0,633.118,1141.14,333,0,0,0,1,0,1,vft_agusbarreto,1,1,Adaptacion,-0.23699032972030062,0.4549878336949247,6.776270338741012,508.02200000000005,175.02200000000005
1,472.858,876.7460000000001,333,0,0,0,1,0,1,vft_agusbarreto,2,2,Adaptacion,-1.0206032115186647,1.0206032115186647,6.247084679701215,403.8880000000001,70.88800000000009
2,433.66900000000004,748.7280000000001,333,0,0,0,1,0,1,vft_agusbarreto,3,3,Adaptacion,-0.3611177867441997,0.36111855065264253,6.17424492168831,315.059,-17.940999999999974
3,634.089,937.222,333,0,0,0,1,0,1,vft_agusbarreto,4,4,Adaptacion,-0.02563878772193704,0.13298022353116307,6.118743410243697,303.1329999999999,-29.867000000000075
4,654.413,960.235,333,0,0,0,1,0,1,vft_agusbarreto,5,5,Adaptacion,0.40016403998065453,0.4008862633561342,6.182898345031704,305.822,-27.177999999999997
5,431.051,727.3430000000001,333,0,0,0,1,0,1,vft_agusbarreto,6,6,Adaptacion,-0.568136822034255,0.568136822034255,6.130945649389229,296.2920000000001,-36.70799999999991
6,483.14,877.2819999999999,333,0,0,0,1,0,1,vft_agusbarreto,7,7,Adaptacion,-0.16695106638715723,0.264328505309002,6.142091799784634,394.14199999999994,61.14199999999994
7,698.586,1066.75,333,0,0,0,1,0,1,vft_agusbarreto,8,8,Adaptacion,0.310346090290079,0.3103552140985355,6.1271326334933445,368.164,35.16399999999999
8,876.544,1295.27,333,0,0,0,1,0,1,vft_agusbarreto,9,9,Adaptacion,0.826077841351935,0.826077841351935,6.124933553157706,418.726,85.726
9,825.1060000000001,1254.1,333,0,0,0,1,0,1,vft_agusbarreto,10,10,Adaptacion,0.01917627752177538,0.21828820247564626,6.240545920802384,428.9939999999998,95.9939999999998
10,908.005,1288.5,333,0,0,0,1,0,1,vft_agusbarreto,11,11,Adaptacion,-0.01886880829622016,0.204655529835522,6.184722550110692,380.495,47.495000000000005
11,1228.3,1686.64,333,0,0,0,1,0,1,vft_agusbarreto,12,12,Adaptacion,0.422073260331299,0.5435972259298545,6.250659022214515,458.34000000000015,125.34000000000015
12,919.034,1313.72,333,0,0,0,1,0,1,vft_agusbarreto,13,13,Adaptacion,-0.33828292110260993,0.431294100445682,6.258146322577893,394.68600000000004,61.686000000000035
13,1296.66,1666.97,333,0,0,0,1,0,1,vft_agusbarreto,14,14,Adaptacion,-0.4577609278325001,0.4841452821855523,6.278781892620195,370.30999999999995,37.309999999999945
14,1020.44,1393.27,333,0,0,0,1,0,1,vft_agusbarreto,15,15,Adaptacion,-0.1198975157382425,0.30042405128410443,6.11791907518624,372.8299999999999,39.82999999999993
15,878.827,1243.61,333,0,0,0,1,0,1,vft_agusbarreto,16,16,Adaptacion,0.48636050628226507,0.486363307239786,6.17066789287065,364.7829999999999,31.7829999999999
16,791.95,1179.27,333,0,0,0,1,0,1,vft_agusbarreto,17,17,Adaptacion,-0.016648612784158356,0.10519576797926414,6.128663289206693,387.31999999999994,54.319999999999936
17,931.177,1417.65,333,0,0,0,1,0,1,vft_agusbarreto,18,18,Adaptacion,-0.730544339105125,0.730544339105125,6.1290520904702355,486.47300000000007,153.47300000000007
18,656.4760000000001,981.198,333,0,0,0,1,0,1,vft_agusbarreto,19,19,Adaptacion,-0.09971446757257348,0.09971454943402026,6.126880318668226,324.72199999999987,-8.278000000000134
19,458.028,803.316,333,0,0,0,1,0,1,vft_agusbarreto,20,20,Adaptacion,-0.055719216927228865,0.27146884298294227,6.141904053176654,345.288,12.288000000000011
20,493.415,781.797,333,0,0,0,1,0,1,vft_agusbarreto,21,21,Adaptacion,0.0931186925261901,0.12998062284908074,6.118244810689163,288.382,-44.617999999999995
21,1144.01,1549.74,333,0,0,0,1,0,1,vft_agusbarreto,22,22,Adaptacion,-0.47349733844180986,0.4734976809739174,6.2077007875831525,405.73,72.73000000000002
22,468.467,789.485,333,0,0,0,1,0,1,vft_agusbarreto,23,23,Adaptacion,-0.12631675266086329,0.20189672296877578,6.1399469918130265,321.01800000000003,-11.981999999999971
23,685.0360000000001,1052.9,333,0,0,0,1,0,1,vft_agusbarreto,24,24,Adaptacion,-0.07620079671992992,0.1642988186315916,6.168436370649006,367.86400000000003,34.86400000000003
24,470.756,853.14,333,0,0,0,1,0,1,vft_agusbarreto,25,25,Adaptacion,-0.45078630295598104,0.45081169733175197,6.256006896385553,382.384,49.384000000000015
25,405.181,746.547,333,0,0,0,1,0,1,vft_agusbarreto,26,26,Adaptacion,0.11277556723006998,0.13799356479487998,6.122685583723005,341.36600000000004,8.366000000000042
26,560.748,950.2769999999999,333,0,0,0,1,0,1,vft_agusbarreto,27,27,Adaptacion,-0.435853777623933,0.435853777623933,6.154050288370026,389.5289999999999,56.52899999999988
27,612.661,978.337,333,0,0,0,1,0,1,vft_agusbarreto,28,28,Adaptacion,-0.4477325820672703,0.4477574689497831,6.168854669524762,365.67600000000004,32.676000000000045
28,649.479,1081.33,333,0,0,0,1,0,1,vft_agusbarreto,29,29,Adaptacion,-0.21430342505471023,0.28581157395731743,6.151413211196441,431.8509999999999,98.85099999999989
29,1042.18,1308.52,333,0,0,0,1,0,1,vft_agusbarreto,30,30,Adaptacion,-0.44932164381756734,0.4493656861317691,6.149266908457623,266.3399999999999,-66.66000000000008
30,663.665,1291.59,333,0,0,1,1,1,1,vft_agusbarreto,31,1,Force,2.123827995095785,5.6493512273780055,9.226105087893202,627.925,294.92499999999995
31,631.278,1132.59,333,0,0,1,1,1,1,vft_agusbarreto,32,2,Force,4.288818055738808,4.345077452055961,7.489689159203541,501.3119999999999,168.3119999999999
32,937.36,1410.11,333,0,0,1,1,1,1,vft_agusbarreto,33,3,Force,0.6131713722903324,0.7731553031198891,6.318265976576689,472.7499999999999,139.7499999999999
33,961.153,1351.65,333,0,0,1,1,1,1,vft_agusbarreto,34,4,Force,3.2209209346394743,3.3083654054856337,6.9749939900243,390.49700000000007,57.49700000000007
34,724.058,1416.18,333,0,0,1,1,1,1,vft_agusbarreto,35,5,Force,1.8343908225041465,4.207225917192357,11.112459305708516,692.1220000000001,359.12200000000007
35,840.905,1248.61,333,0,0,1,1,1,1,vft_agusbarreto,36,6,Force,2.573904141812558,2.650476149271807,6.559437037201038,407.7049999999999,74.70499999999993
36,675.8919999999999,1061.2,333,0,0,1,1,1,1,vft_agusbarreto,37,7,Force,-0.6654607139630148,0.918118110065504,6.370526081266743,385.3080000000001,52.308000000000106
37,718.133,1469.28,333,0,0,1,1,1,1,vft_agusbarreto,38,8,Force,6.814748954746426,8.523898471612053,12.880255345138217,751.1469999999999,418.14699999999993
38,672.988,1051.88,333,0,0,1,1,1,1,vft_agusbarreto,39,9,Force,1.0797542358935202,1.235836948681483,6.445398083683528,378.89200000000005,45.89200000000005
39,526.415,1225.04,333,0,0,1,1,1,1,vft_agusbarreto,40,10,Force,0.8926114813272368,1.8885030845734467,7.573930936443099,698.625,365.625
40,732.8860000000001,1140.38,333,0,0,1,1,1,1,vft_agusbarreto,41,11,Force,1.023530959323946,1.1069902140010652,6.270407303012645,407.494,74.49400000000003
41,471.33099999999996,820.931,333,0,0,1,1,1,1,vft_agusbarreto,42,12,Force,0.24399616347476594,0.7626702239579248,6.373300790987248,349.6000000000001,16.60000000000008
42,961.0219999999999,1345.08,333,0,0,1,1,1,1,vft_agusbarreto,43,13,Force,3.123662590074095,3.1792377355939436,6.90344089817261,384.058,51.05799999999999
43,686.049,1209.51,333,0,0,1,1,1,1,vft_agusbarreto,44,14,Force,1.6892121771220934,2.2903546388794123,7.112814086519444,523.461,190.461
44,477.376,1038.8,333,0,0,1,1,1,1,vft_agusbarreto,45,15,Force,0.76847037918615,2.7265174136221946,6.962588122422509,561.424,228.42399999999998
45,428.47,945.332,333,0,0,1,1,1,1,vft_agusbarreto,46,16,Force,1.0950726037530347,1.1062362632757035,6.252676279941113,516.862,183.86199999999997
46,349.592,814.505,333,0,0,1,1,1,1,vft_agusbarreto,47,17,Force,-0.5911393823169476,0.5911393823169476,6.221848966179603,464.913,131.913
47,894.4630000000001,1425.81,333,0,0,1,1,1,1,vft_agusbarreto,48,18,Force,7.1279555353649595,7.127956551186365,9.438743632833669,531.3469999999999,198.34699999999987
48,484.014,934.698,333,0,0,1,1,1,1,vft_agusbarreto,49,19,Force,-2.726114813825685,2.737574411252744,6.48090580207852,450.68399999999997,117.68399999999997
49,435.26300000000003,924.658,333,0,0,1,1,1,1,vft_agusbarreto,50,20,Force,-0.8346635449397549,0.8346635449397549,6.208169936875753,489.395,156.39499999999998
50,477.719,1128.18,333,0,0,1,1,1,1,vft_agusbarreto,51,21,Force,1.7912996753614814,3.263259815777266,9.109402246298064,650.461,317.461
51,505.22900000000004,900.679,333,0,0,1,1,1,1,vft_agusbarreto,52,22,Force,-1.1835045623978018,1.2400037186350161,6.769292150391896,395.44999999999993,62.44999999999993
52,558.393,931.671,333,0,0,1,1,1,1,vft_agusbarreto,53,23,Force,-2.188808990229208,2.207357971979715,7.186828186686708,373.278,40.27800000000002
53,470.67199999999997,879.087,333,0,0,1,1,1,1,vft_agusbarreto,54,24,Force,-3.137191835858875,3.1371953618612523,6.769927088925596,408.415,75.41500000000002
54,405.916,819.8330000000001,333,0,0,1,1,1,1,vft_agusbarreto,55,25,Force,1.2613100151324312,1.3409737531501098,6.520248880521597,413.9170000000001,80.91700000000009
55,609.219,1015.63,333,0,0,1,1,1,1,vft_agusbarreto,56,26,Force,-2.6592007575608996,2.729252847134585,6.755343475117492,406.41099999999994,73.41099999999994
