trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,476.58,933.201,333,0,0,0,1,0,1,vft_caro,1,-0.8505649173085008,0.8505649173085008,6.218375701343345,456.62100000000004,123.62100000000004
1,567.362,965.816,333,0,0,0,1,0,1,vft_caro,2,0.25134583051408094,0.4743490509510495,6.2036552827464515,398.45400000000006,65.45400000000006
2,450.135,792.2819999999999,333,0,0,0,1,0,1,vft_caro,3,-0.42933607017964737,0.42933607017964737,6.147274449329636,342.14699999999993,9.146999999999935
3,455.398,915.5239999999999,333,0,0,0,1,0,1,vft_caro,4,-0.8658930818324855,0.8658931592417309,6.1332621162572245,460.12599999999986,127.12599999999986
4,432.139,854.28,333,0,0,0,1,0,1,vft_caro,5,-0.4940481092103852,0.4940481092103852,6.1387151029079945,422.14099999999996,89.14099999999996
5,460.64599999999996,832.5319999999999,333,0,0,0,1,0,1,vft_caro,6,-0.5509013792781331,0.5509024051917049,6.185834280905481,371.88599999999997,38.88599999999997
6,402.411,780.814,333,0,0,0,1,0,1,vft_caro,7,-0.17143906105937248,0.18249652481812245,6.155328647779006,378.40299999999996,45.40299999999996
7,408.11400000000003,817.492,333,0,0,0,1,0,1,vft_caro,8,-0.7770004109063046,0.7770018262089642,6.276239257683292,409.37799999999993,76.37799999999993
8,470.61699999999996,880.2639999999999,333,0,0,0,1,0,1,vft_caro,9,-0.6613722293781589,0.6613732519913267,6.253089717379844,409.64699999999993,76.64699999999993
9,461.139,912.27,333,0,0,0,1,0,1,vft_caro,10,-0.48506582274402515,0.48511084254151376,6.136009406540236,451.131,118.13099999999997
10,468.44,900.525,333,0,0,0,1,0,1,vft_caro,11,-0.5902621254987077,0.5903708877251129,6.18981154979505,432.085,99.08499999999998
11,465.61199999999997,853.2560000000001,333,0,0,0,1,0,1,vft_caro,12,-0.351630051933707,0.3562810665817803,6.143278701757778,387.6440000000001,54.64400000000012
12,437.269,855.922,333,0,0,0,1,0,1,vft_caro,13,0.03603426904453007,0.17758176469106546,6.1183309717076,418.653,85.65300000000002
13,489.805,836.755,333,0,0,0,1,0,1,vft_caro,14,-0.31392715092647305,0.31403369854710717,6.118603138368885,346.95,13.949999999999989
14,417.13,757.299,333,0,0,0,1,0,1,vft_caro,15,-0.2575020781694247,0.26635707385503005,6.1191066192725945,340.169,7.168999999999983
15,443.14300000000003,800.283,333,0,0,0,1,0,1,vft_caro,16,-0.8083813917047203,0.8083813917047203,6.144287074654238,357.14,24.139999999999986
16,445.838,842.24,333,0,0,0,1,0,1,vft_caro,17,-0.11463587889545312,0.141498929413148,6.154334500143458,396.402,63.40199999999999
17,589.524,994.173,333,0,0,0,1,0,1,vft_caro,18,-0.38828010888086983,0.4128840618687695,6.139716548345737,404.649,71.649
