trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,1288.86,1809.47,333,0,0,0,1,0,1,vft_constanza,1,0.00023424519907827305,-0.00023424522949705906,0.06842839061205344,520.6100000000001,-187.61000000000013
1,1115.87,1502.05,333,0,0,0,1,0,1,vft_constanza,2,0.00011935903728842356,-0.00011935903728842356,0.06260009155491304,386.18000000000006,-53.180000000000064
2,717.135,1096.34,333,0,0,0,1,0,1,vft_constanza,3,0.0001472764660652161,-0.0001472764660652161,0.06232120262287949,379.2049999999999,-46.20499999999993
3,871.595,1282.06,333,0,0,0,1,0,1,vft_constanza,4,0.00021948508090508914,-0.00021948508090508914,0.06464010664577133,410.4649999999999,-77.46499999999992
4,772.8810000000001,1163.6,333,0,0,0,1,0,1,vft_constanza,5,0.00014917887921852475,-0.00014917887921852475,0.06181542717042588,390.7189999999998,-57.718999999999824
5,347.454,733.7460000000001,333,0,0,0,1,0,1,vft_constanza,6,8.117219031364513e-05,-8.124112936476776e-05,0.06223010882283371,386.2920000000001,-53.29200000000009
6,814.735,1240.02,333,0,0,0,1,0,1,vft_constanza,7,7.4246606684034e-05,-7.428842740534438e-05,0.061414049403657925,425.28499999999997,-92.28499999999997
7,878.428,1282.68,333,0,0,0,1,0,1,vft_constanza,8,0.00010582940326249078,-0.00010582940326249078,0.06226666947027287,404.25200000000007,-71.25200000000007
8,684.005,1071.98,333,0,0,0,1,0,1,vft_constanza,9,9.549548827856533e-05,-9.549553654262816e-05,0.06236272889036634,387.975,-54.97500000000002
9,851.918,1254.42,333,0,0,0,1,0,1,vft_constanza,10,3.215923729350196e-05,-3.215937636443522e-05,0.06200414705423671,402.50200000000007,-69.50200000000007
10,561.247,944.9910000000001,333,0,0,0,1,0,1,vft_constanza,11,7.967735795916371e-05,-7.967749158406212e-05,0.06156379797587756,383.74400000000014,-50.74400000000014
11,785.9989999999999,1165.02,333,0,0,0,1,0,1,vft_constanza,12,4.8284709713214996e-05,-4.839618781528972e-05,0.06196530609279882,379.0210000000001,-46.02100000000007
12,666.0239999999999,1036.85,333,0,0,0,1,0,1,vft_constanza,13,7.813922919228408e-06,-1.766908282112469e-05,0.06134368831901761,370.826,-37.82600000000002
13,767.471,1178.24,333,0,0,0,1,0,1,vft_constanza,14,5.142015367127902e-05,-5.148535213951711e-05,0.06206154394819657,410.769,-77.769
14,712.0060000000001,1121.81,333,0,0,0,1,0,1,vft_constanza,15,-6.774992464065321e-06,-7.448306994964939e-06,0.061587889472103946,409.80399999999986,-76.80399999999986
15,786.947,1159.96,333,0,0,0,1,0,1,vft_constanza,16,2.435856235652525e-05,-3.812191690781773e-05,0.06125458621670801,373.01300000000003,-40.013000000000034
16,478.74300000000005,865.235,333,0,0,0,1,0,1,vft_constanza,17,4.444363132146521e-05,-4.646745167807843e-05,0.061245388330094255,386.49199999999996,-53.49199999999996
17,635.469,993.237,333,0,0,0,1,0,1,vft_constanza,18,6.77615477237045e-05,-6.776231909861069e-05,0.06128215154307474,357.7679999999999,-24.767999999999915
18,1001.73,1422.21,333,0,0,0,1,0,1,vft_constanza,19,5.272454277156702e-05,-5.272459229652382e-05,0.06156288376322196,420.48,-87.48000000000002
19,1010.73,1378.22,333,0,0,0,1,0,1,vft_constanza,20,1.4250732614570018e-05,-2.889277891846967e-05,0.06156309435641823,367.49,-34.49000000000001
20,788.2339999999999,1182.77,333,0,0,0,1,0,1,vft_constanza,21,5.757732738110484e-05,-6.03158719130948e-05,0.06153958583521417,394.53600000000006,-61.53600000000006
21,889.46,1292.7,333,0,0,0,1,0,1,vft_constanza,22,4.8892165140217655e-05,-5.0979278811094886e-05,0.06125866006754668,403.24,-70.24000000000001
22,699.235,1101.48,333,0,0,0,1,0,1,vft_constanza,23,-8.01388586118209e-06,-1.5490383247811683e-05,0.0617306927053041,402.245,-69.245
23,701.71,1079.43,333,0,0,0,1,0,1,vft_constanza,24,-2.6752154384384756e-05,-2.6752234215946663e-05,0.06114211442658144,377.72,-44.72000000000003
24,775.9680000000001,1127.71,333,0,0,0,1,0,1,vft_constanza,25,1.2742165388563033e-05,-1.490027114689942e-05,0.06127470474604626,351.74199999999996,-18.741999999999962
25,595.961,972.725,333,0,0,0,1,0,1,vft_constanza,26,-2.22504917923755e-05,-2.4747053604551864e-05,0.06117176772874541,376.764,-43.76400000000001
26,836.722,1191.98,333,0,0,0,1,0,1,vft_constanza,27,1.2002729260131545e-05,-1.7105724430177653e-05,0.0611289329133737,355.25800000000004,-22.258000000000038
27,937.45,1336.21,333,0,0,0,1,0,1,vft_constanza,28,-6.268820998659996e-06,-8.557937559815538e-06,0.06118091683987994,398.76,-65.75999999999999
28,566.893,946.63,333,0,0,0,1,0,1,vft_constanza,29,2.6800517533486e-05,-3.378766106810648e-05,0.06162802807775724,379.73699999999997,-46.736999999999966
29,853.97,1248.21,333,0,0,0,1,0,1,vft_constanza,30,-1.5580614418530607e-05,-2.036149764386253e-05,0.06122271127438943,394.24,-61.24000000000001
30,847.462,1881.83,333,0,0,1,1,1,1,vft_constanza,31,-0.0008931071667919932,-0.0011340285978444459,0.2303888894770395,1034.368,-701.3679999999999
31,648.464,1094.39,333,0,0,1,1,1,1,vft_constanza,32,-8.660069560174452e-05,-0.0002674120200460932,0.06904350478042728,445.92600000000004,-112.92600000000004
32,941.3960000000001,1335.88,333,0,0,1,1,1,1,vft_constanza,33,-0.00036789383744019157,-0.00036789383744019157,0.06699480556241316,394.48400000000004,-61.48400000000004
33,625.94,1027.96,333,0,0,1,1,1,1,vft_constanza,34,-0.00014374326051188897,-0.00014562151498602742,0.06617763536675113,402.02,-69.01999999999998
34,552.7180000000001,946.948,333,0,0,1,1,1,1,vft_constanza,35,5.2090485415786245e-05,-0.00017948711023776102,0.07192393076709046,394.2299999999999,-61.229999999999905
35,857.955,1271.17,333,0,0,1,1,1,1,vft_constanza,36,0.0002183939325630009,-0.0003021008906061424,0.07406528341606654,413.21500000000003,-80.21500000000003
36,747.9580000000001,1067.98,333,0,0,1,1,1,1,vft_constanza,37,0.00028151954663732204,-0.00028584509143401857,0.06494506405876072,320.02199999999993,12.978000000000065
37,803.707,1149.64,333,0,0,1,1,1,1,vft_constanza,38,7.710850242681555e-05,-0.00010125382945355143,0.06250484366953118,345.9330000000001,-12.933000000000106
38,1069.68,1385.92,333,0,0,1,1,1,1,vft_constanza,39,5.9860464125210974e-05,-6.36217938872815e-05,0.06388309283549434,316.24,16.75999999999999
39,739.688,1213.91,333,0,0,1,1,1,1,vft_constanza,40,-5.886622732746477e-05,-0.00025190716372146466,0.06864272011367714,474.2220000000001,-141.2220000000001
40,787.679,1146.85,333,0,0,1,1,1,1,vft_constanza,41,-0.00017321364335518607,-0.00019036613366342332,0.07044480092997638,359.17099999999994,-26.170999999999935
41,879.97,1232.7,333,0,0,1,1,1,1,vft_constanza,42,-0.00011813895960156005,-0.0001380946040506447,0.06501442976707117,352.73,-19.730000000000018
42,1046.92,1395.14,333,0,0,1,1,1,1,vft_constanza,43,0.000207460696049313,-0.000207460696049313,0.06284728957436775,348.22,-15.220000000000027
43,1025.46,1396.69,333,0,0,1,1,1,1,vft_constanza,44,0.00016908435788325781,-0.00017799451571200828,0.06746042264869953,371.23,-38.23000000000002
44,872.696,1268.42,333,0,0,1,1,1,1,vft_constanza,45,-4.949050285245242e-05,-9.207682229233995e-05,0.06506542663646803,395.72400000000005,-62.724000000000046
45,840.926,1334.42,333,0,0,1,1,1,1,vft_constanza,46,0.000392102213967761,-0.0004064770944543162,0.07660761518656134,493.494,-160.49400000000003
46,1071.26,1394.74,333,0,0,1,1,1,1,vft_constanza,47,0.00015207081973123948,-0.00015207086252755518,0.06176052756470642,323.48,9.519999999999982
47,1047.92,1406.12,333,0,0,1,1,1,1,vft_constanza,48,1.685710291706755e-05,-2.836429482846383e-05,0.06400050511961541,358.1999999999998,-25.199999999999818
48,957.745,1399.64,333,0,0,1,1,1,1,vft_constanza,49,-0.00018149920068006252,-0.00018630634067725205,0.06796953203552783,441.8950000000001,-108.8950000000001
49,766.944,1178.17,333,0,0,1,1,1,1,vft_constanza,50,5.3595509646183665e-05,-0.00016392986575206658,0.07513940060767071,411.2260000000001,-78.22600000000011
50,778.722,1112.2,333,0,0,1,1,1,1,vft_constanza,51,3.5069132129615143e-05,-5.595937382812511e-05,0.06295926764714653,333.47800000000007,-0.4780000000000655
51,1259.17,1606.15,333,0,0,1,1,1,1,vft_constanza,52,-0.000225073446854324,-0.000225073446854324,0.06446031292072364,346.98,-13.980000000000018
52,770.893,1135.67,333,0,0,1,1,1,1,vft_constanza,53,0.00019017203510263766,-0.00019379194984220675,0.06483131787432436,364.77700000000004,-31.777000000000044
53,761.47,1136.2,333,0,0,1,1,1,1,vft_constanza,54,-0.00019677929939890143,-0.00019721327100802368,0.0634504057783701,374.73,-41.73000000000002
54,833.453,1238.66,333,0,0,1,1,1,1,vft_constanza,55,-0.00032216319392839904,-0.0003262783994284255,0.07005410720698169,405.2070000000001,-72.20700000000011
55,971.932,1256.7,333,0,0,1,1,1,1,vft_constanza,56,8.08288691101851e-05,-8.085606851959592e-05,0.06372719848556109,284.76800000000003,48.23199999999997
56,641.4730000000001,1134.68,333,0,0,1,1,1,1,vft_constanza,57,0.0002385218115791136,-0.0003135849072674041,0.07897414352153356,493.207,-160.207
57,843.877,1167.29,333,0,0,1,1,1,1,vft_constanza,58,7.3352001487469e-05,-7.3352001487469e-05,0.06124885090397639,323.413,9.586999999999989
58,812.961,1135.87,333,0,0,1,1,1,1,vft_constanza,59,-5.77101732524695e-05,-5.771019935158026e-05,0.06126325598766555,322.9089999999999,10.091000000000122
59,823.446,1212.95,333,0,0,1,1,1,1,vft_constanza,60,-0.0003007906575667922,-0.0003007906575667922,0.06445198367133055,389.504,-56.50400000000002
60,706.7180000000001,1141.41,333,0,0,2,1,0,1,vft_constanza,61,0.00019224585492743355,-0.0001922611462182776,0.06641755243649139,434.692,-101.69200000000001
61,1196.91,1593.89,333,0,0,2,1,0,1,vft_constanza,62,0.0001312167835690595,-0.00013121712962062287,0.06694641076412006,396.98,-63.98000000000002
62,1130.88,1616.35,333,0,0,2,1,0,1,vft_constanza,63,0.00012296185899462702,-0.00012297144432234827,0.062006893316191206,485.4699999999998,-152.4699999999998
63,870.706,1236.91,333,0,0,2,1,0,1,vft_constanza,64,5.419348579201747e-05,-5.548625332725333e-05,0.06235784940086335,366.20400000000006,-33.204000000000065
64,779.9169999999999,1109.39,333,0,0,2,1,0,1,vft_constanza,65,9.969535415534703e-05,-9.969535415534703e-05,0.06249840940198244,329.4730000000002,3.5269999999998163
65,721.7139999999999,1083.19,333,0,0,2,1,0,1,vft_constanza,66,0.000101178212283413,-0.00010120327280976737,0.06228740618869522,361.4760000000001,-28.476000000000113
66,1056.92,1469.66,333,0,0,2,1,0,1,vft_constanza,67,3.0139874323729645e-05,-3.999504348666211e-05,0.06169388198208926,412.74,-79.74000000000001
67,880.424,1234.89,333,0,0,2,1,0,1,vft_constanza,68,-2.1414260030439567e-06,-1.4171875390507619e-05,0.06118357467659274,354.4660000000001,-21.466000000000122
68,869.684,1284.63,333,0,0,2,1,0,1,vft_constanza,69,5.545734720519536e-05,-6.228133507669188e-05,0.06186366970364102,414.94600000000014,-81.94600000000014
69,654.325,999.044,333,0,0,2,1,0,1,vft_constanza,70,3.3980046207128005e-05,-3.400087349451625e-05,0.061688687250064766,344.71899999999994,-11.718999999999937
70,1450.39,1824.79,333,0,0,2,1,0,1,vft_constanza,71,2.4556730267435244e-05,-3.367135056062565e-05,0.06113793212871559,374.39999999999986,-41.399999999999864
71,945.674,1336.37,333,0,0,2,1,0,1,vft_constanza,72,4.334797828701849e-05,-4.7010829830792534e-05,0.061626934520539065,390.6959999999999,-57.69599999999991
72,1105.16,1491.61,333,0,0,2,1,0,1,vft_constanza,73,1.1561510477354601e-05,-4.030798822524623e-05,0.06146356360319272,386.4499999999998,-53.44999999999982
73,922.7810000000001,1328.94,333,0,0,2,1,0,1,vft_constanza,74,-1.6919954542687592e-06,-1.6586957900332446e-05,0.061132980034082726,406.159,-73.15899999999999
74,836.46,1241.15,333,0,0,2,1,0,1,vft_constanza,75,3.962076911522946e-05,-4.060067379616649e-05,0.06122021527731692,404.69000000000005,-71.69000000000005
75,1130.09,1509.56,333,0,0,2,1,0,1,vft_constanza,76,4.4897759932083854e-05,-4.976369873348118e-05,0.061638693450447465,379.47,-46.47000000000003
76,944.9,1340.64,333,0,0,2,1,0,1,vft_constanza,77,3.2387365119194075e-05,-3.2387399989272396e-05,0.061179889544216826,395.7400000000001,-62.74000000000012
77,938.673,1311.39,333,0,0,2,1,0,1,vft_constanza,78,3.228795632843141e-05,-3.228804306586608e-05,0.061623314228202664,372.7170000000001,-39.7170000000001
78,1022.64,1370.88,333,0,0,2,1,0,1,vft_constanza,79,6.358309148467845e-05,-6.361713930554477e-05,0.0620272130584162,348.2400000000001,-15.240000000000123
79,827.93,1167.15,333,0,0,2,1,0,1,vft_constanza,80,1.2528747196893562e-05,-2.055654948636148e-05,0.06115232208934973,339.22000000000014,-6.220000000000141
80,761.184,1149.65,333,0,0,2,1,0,1,vft_constanza,81,-2.5729353760601505e-05,-3.079506360279836e-05,0.06156625139222151,388.4660000000001,-55.46600000000012
81,945.622,1333.32,333,0,0,2,1,0,1,vft_constanza,82,9.245327278693753e-05,-9.24533572753289e-05,0.06188447189003869,387.698,-54.69799999999998
82,820.1560000000001,1174.65,333,0,0,2,1,0,1,vft_constanza,83,1.4944489061298965e-06,-7.615083148902352e-06,0.061121602384449754,354.494,-21.494000000000028
83,762.183,1111.97,333,0,0,2,1,0,1,vft_constanza,84,2.4993831407373502e-05,-2.9151925106914372e-05,0.061162858876390405,349.78700000000003,-16.787000000000035
84,805.403,1183.64,333,0,0,2,1,0,1,vft_constanza,85,4.8786471871581993e-05,-4.878652216162426e-05,0.06114599350720738,378.2370000000001,-45.23700000000008
85,1004.9,1393.58,333,0,0,2,1,0,1,vft_constanza,86,3.483994196973651e-05,-3.824162295125909e-05,0.06151564044799622,388.67999999999995,-55.67999999999995
86,1190.72,1564.87,333,0,0,2,1,0,1,vft_constanza,87,1.8022679824033003e-05,-1.8181337720719308e-05,0.06126880219596935,374.14999999999986,-41.149999999999864
87,856.675,1241.14,333,0,0,2,1,0,1,vft_constanza,88,1.314218646058501e-05,-2.067912231932956e-05,0.06135971527035412,384.46500000000015,-51.465000000000146
88,1405.19,1773.34,333,0,0,2,1,0,1,vft_constanza,89,4.8440901736819926e-06,-4.9642027877578005e-06,0.061499577379336375,368.14999999999986,-35.149999999999864
89,1132.88,1546.36,333,0,0,2,1,0,1,vft_constanza,90,2.2556967630479495e-05,-2.2846218028503473e-05,0.06119734110452234,413.4799999999998,-80.47999999999979
90,970.409,2093.78,333,60,1,3,1,0,1,vft_constanza,91,-0.0018941983454393598,0.0018941983454393598,0.1146082097408668,1123.371,-790.3710000000001
