trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,699.1419999999999,1139.32,333,0,0,0,1,0,1,vft_gabrielgoren,1,-3.5958235356515673e-06,-6.724232196600073e-05,0.06263432512307973,440.178,-107.178
1,757.3910000000001,1156.82,333,0,0,0,1,0,1,vft_gabrielgoren,2,7.269733087848703e-05,-7.269733087848703e-05,0.06251158392817358,399.42899999999986,-66.42899999999986
2,529.419,984.346,333,0,0,0,1,0,1,vft_gabrielgoren,3,0.0001771176273671544,-0.0001771176273671544,0.06222644932941315,454.927,-121.92700000000002
3,741.635,1134.82,333,0,0,0,1,0,1,vft_gabrielgoren,4,0.00011702025196283593,-0.00011702025196283593,0.06409564258031847,393.18499999999995,-60.184999999999945
4,734.3860000000001,1116.82,333,0,0,0,1,0,1,vft_gabrielgoren,5,0.00015862168644520755,-0.00015862168644520755,0.06286570901085858,382.43399999999986,-49.433999999999855
5,508.17900000000003,876.0939999999999,333,0,0,0,1,0,1,vft_gabrielgoren,6,-0.0002129318525660458,-0.00021293200694073565,0.06427950865034869,367.9149999999999,-34.91499999999991
6,717.368,1028.09,333,0,0,0,1,0,1,vft_gabrielgoren,7,0.00011998810787209,-0.00011998810787209,0.061564592853722885,310.72199999999987,22.278000000000134
7,735.3860000000001,1115.81,333,0,0,0,1,0,1,vft_gabrielgoren,8,8.648564768095051e-05,-8.64856743151204e-05,0.061513596131207694,380.42399999999986,-47.423999999999864
8,810.077,1144.81,333,0,0,0,1,0,1,vft_gabrielgoren,9,2.547305739220675e-05,-3.238215887970974e-05,0.06126679992495919,334.73299999999995,-1.7329999999999472
9,945.809,1335.75,333,0,0,0,1,0,1,vft_gabrielgoren,10,7.209204724793869e-05,-7.211965995496979e-05,0.06167132845113627,389.94100000000003,-56.94100000000003
10,878.8660000000001,1257.54,333,0,0,0,1,0,1,vft_gabrielgoren,11,6.084858675377816e-05,-6.085992172543584e-05,0.06155469789274797,378.67399999999986,-45.673999999999864
11,804.1260000000001,1256.06,333,0,0,0,1,0,1,vft_gabrielgoren,12,3.7667845018510416e-05,-3.9557336173160985e-05,0.06153458583365041,451.93399999999986,-118.93399999999986
12,772.128,1147.8,333,0,0,0,1,0,1,vft_gabrielgoren,13,0.000154591641240695,-0.000154591641240695,0.0625190932495561,375.6719999999999,-42.67199999999991
13,843.877,1233.57,333,0,0,0,1,0,1,vft_gabrielgoren,14,0.000127506638002809,-0.000127506638002809,0.06209196120423691,389.693,-56.692999999999984
14,823.887,1151.34,333,0,0,0,1,0,1,vft_gabrielgoren,15,9.018826356965988e-05,-9.018826356965988e-05,0.06164400505648929,327.453,5.5470000000000255
15,770.632,1146.57,333,0,0,0,1,0,1,vft_gabrielgoren,16,5.948503638320327e-05,-5.948507980686765e-05,0.06138795354971133,375.938,-42.93799999999999
16,730.334,1110.52,333,0,0,0,1,0,1,vft_gabrielgoren,17,2.3795896158068538e-05,-2.948064811607301e-05,0.06170357558570189,380.18600000000004,-47.186000000000035
17,678.393,1105.08,333,0,0,0,1,0,1,vft_gabrielgoren,18,8.192691012391402e-05,-8.192723332031468e-05,0.06178601067586009,426.6869999999999,-93.6869999999999
18,717.8860000000001,1102.57,333,0,0,0,1,0,1,vft_gabrielgoren,19,0.000263754617414504,-0.000263754617414504,0.06361943900579571,384.68399999999986,-51.683999999999855
19,787.184,1215.37,333,0,0,0,1,0,1,vft_gabrielgoren,20,7.801491642819341e-05,-8.085967362764358e-05,0.06314269730980185,428.1859999999999,-95.18599999999992
20,762.628,1106.57,333,0,0,0,1,0,1,vft_gabrielgoren,21,0.00010883066444103348,-0.00010883066444103348,0.06223388787468795,343.9419999999999,-10.941999999999894
21,965.584,1360.77,333,0,0,0,1,0,1,vft_gabrielgoren,22,7.635636607261329e-06,-3.174751075493251e-05,0.062350949864190396,395.18600000000004,-62.186000000000035
22,675.39,1102.07,333,0,0,0,1,0,1,vft_gabrielgoren,23,0.0001133191613670712,-0.000113319167728322,0.061714838422003634,426.67999999999995,-93.67999999999995
23,816.8710000000001,1189.31,333,0,0,0,1,0,1,vft_gabrielgoren,24,9.032492444705393e-06,-2.863926195608723e-05,0.061668238895567655,372.43899999999985,-39.43899999999985
24,760.378,1111.82,333,0,0,0,1,0,1,vft_gabrielgoren,25,-4.031323174801643e-06,-1.1462569241149299e-05,0.0612503321432974,351.4419999999999,-18.441999999999894
25,777.485,1169.85,333,0,0,0,1,0,1,vft_gabrielgoren,26,7.47854847655544e-05,-7.47854847655544e-05,0.06150150175471199,392.3649999999999,-59.364999999999895
26,833.612,1155.31,333,0,0,0,1,0,1,vft_gabrielgoren,27,2.1414151986742062e-05,-2.165007885927127e-05,0.06179461704014332,321.698,11.302000000000021
27,840.3610000000001,1226.3,333,0,0,0,1,0,1,vft_gabrielgoren,28,6.892667525364351e-05,-6.892667525364351e-05,0.06152300804904663,385.93899999999985,-52.93899999999985
28,715.245,1130.43,333,0,0,0,1,0,1,vft_gabrielgoren,29,7.186474014541149e-05,-7.186474014541149e-05,0.06264638309073028,415.18500000000006,-82.18500000000006
29,816.578,1177.77,333,0,0,0,1,0,1,vft_gabrielgoren,30,4.8077150509200013e-05,-4.8077150509200013e-05,0.0614385529707646,361.192,-28.192000000000007
30,859.628,1559.67,333,0,0,1,1,1,1,vft_gabrielgoren,31,-2.3975250996625505e-05,-0.00010567825593940702,0.06618204257097744,700.042,-367.04200000000003
31,746.877,1264.29,333,0,0,1,1,1,1,vft_gabrielgoren,32,6.516420773372061e-05,-0.00013799189120065964,0.06613339217405606,517.413,-184.413
32,854.069,1314.5,333,0,0,1,1,1,1,vft_gabrielgoren,33,-0.00014586327434342337,-0.00015093493160498643,0.06367293223975654,460.43100000000004,-127.43100000000004
33,785.1289999999999,1169.07,333,0,0,1,1,1,1,vft_gabrielgoren,34,-8.513003893516284e-05,-9.680760204244752e-05,0.06412656709645544,383.94100000000003,-50.94100000000003
34,728.382,1242.3,333,0,0,1,1,1,1,vft_gabrielgoren,35,-6.390752615331198e-05,-0.0003522262338655642,0.08480297472502021,513.918,-180.918
35,851.61,1344.03,333,0,0,1,1,1,1,vft_gabrielgoren,36,2.0333170277423506e-05,-0.00021554795600438537,0.07067853378362436,492.41999999999996,-159.41999999999996
36,716.138,1280.55,333,0,0,1,1,1,1,vft_gabrielgoren,37,-0.0003271340801905657,-0.00036347280774063316,0.07926599132833562,564.4119999999999,-231.41199999999992
37,796.37,1226.8,333,0,0,1,1,1,1,vft_gabrielgoren,38,-0.00010602917565490003,-0.00016582696116823771,0.06507659601810128,430.42999999999995,-97.42999999999995
38,947.352,1384.78,333,0,0,1,1,1,1,vft_gabrielgoren,39,0.00015769590807585893,-0.00016057279535791025,0.06407922529705748,437.428,-104.428
39,827.365,1432.02,333,0,0,1,1,1,1,vft_gabrielgoren,40,-0.00036776581022967495,-0.0003976138849526531,0.07596688337027174,604.655,-271.655
40,554.4069999999999,1006.58,333,0,0,1,1,1,1,vft_gabrielgoren,41,-0.00040214804064098007,-0.00041845907161922556,0.07509270278052511,452.1730000000001,-119.17300000000012
41,729.382,1126.32,333,0,0,1,1,1,1,vft_gabrielgoren,42,1.9700781747240283e-06,-0.0001333910107102707,0.06667226431861144,396.938,-63.93799999999999
42,1291.29,1681.97,333,0,0,1,1,1,1,vft_gabrielgoren,43,-0.00042080130827259696,-0.00042080130827259696,0.07006239351558416,390.68000000000006,-57.680000000000064
43,826.368,1330.04,333,0,0,1,1,1,1,vft_gabrielgoren,44,-0.000658146312205661,-0.0006676735967316444,0.0814216388018699,503.6719999999999,-170.6719999999999
44,710.1610000000001,1252.31,333,0,0,1,1,1,1,vft_gabrielgoren,45,7.19885179322565e-05,-0.0005029424369262062,0.09454364450867159,542.1489999999999,-209.1489999999999
45,769.92,1347.69,333,0,0,1,1,1,1,vft_gabrielgoren,46,-0.00029773526420647954,-0.0003459393260616122,0.0784760180024745,577.7700000000001,-244.7700000000001
46,801.811,1249.74,333,0,0,1,1,1,1,vft_gabrielgoren,47,0.00066227055515727,-0.0006824231472568095,0.08137716254216992,447.929,-114.92899999999997
47,643.891,1130.81,333,0,0,1,1,1,1,vft_gabrielgoren,48,0.0003041436590354026,-0.0003120338374707169,0.07297188339855072,486.919,-153.91899999999998
48,763.12,1229.8,333,0,0,1,1,1,1,vft_gabrielgoren,49,0.00043411423236419384,-0.0004669156390453981,0.07776678750595095,466.67999999999995,-133.67999999999995
49,936.102,1511.75,333,0,0,1,1,1,1,vft_gabrielgoren,50,0.000218223916747877,-0.00045157896639295763,0.08873922556254703,575.648,-242.64800000000002
50,583.139,1028.57,333,0,0,1,1,1,1,vft_gabrielgoren,51,0.0003944720160591812,-0.0004387106622871115,0.07696315705312481,445.4309999999999,-112.43099999999993
51,852.6110000000001,1269.04,333,0,0,1,1,1,1,vft_gabrielgoren,52,-0.00037990880507027854,-0.00041650597285322524,0.07299746998215978,416.42899999999986,-83.42899999999986
52,665.3860000000001,1044.57,333,0,0,1,1,1,1,vft_gabrielgoren,53,8.602214602896768e-05,-0.00013330712265673087,0.06603704196627969,379.18399999999986,-46.183999999999855
53,627.879,946.846,333,0,0,1,1,1,1,vft_gabrielgoren,54,0.0001803846441605005,-0.00018056194359464196,0.06330960431295984,318.967,14.033000000000015
54,860.6089999999999,1234.57,333,0,0,1,1,1,1,vft_gabrielgoren,55,0.00012797589228979154,-0.00012797589228979154,0.06299943264484001,373.961,-40.96100000000001
55,712.632,1180.31,333,0,0,1,1,1,1,vft_gabrielgoren,56,-0.0001569475422435051,-0.00016478540725668023,0.07004379001520701,467.678,-134.678
56,881.602,1369.27,333,0,0,1,1,1,1,vft_gabrielgoren,57,-0.0005633350737129326,-0.0005658306099413456,0.07470122877415955,487.668,-154.668
57,748.625,1195.3,333,0,0,1,1,1,1,vft_gabrielgoren,58,0.0005521303676295976,-0.0005612347975758863,0.07839359068355703,446.67499999999995,-113.67499999999995
58,878.602,1397.52,333,0,0,1,1,1,1,vft_gabrielgoren,59,-0.0004602413428569924,-0.0004609483461410198,0.07361389684988956,518.918,-185.918
59,861.3560000000001,1293.78,333,0,0,1,1,1,1,vft_gabrielgoren,60,0.00023672815577298198,-0.00023672815577298198,0.06447080097909993,432.42399999999986,-99.42399999999986
60,636.393,1033.58,333,0,0,2,1,0,1,vft_gabrielgoren,61,0.0003872420532093196,-0.0003872420532093196,0.068499704687657,397.1869999999999,-64.1869999999999
61,768.632,1163.82,333,0,0,2,1,0,1,vft_gabrielgoren,62,0.00034704241105595695,-0.00034704241105595695,0.06608502951813677,395.188,-62.18799999999999
62,724.8789999999999,1175.06,333,0,0,2,1,0,1,vft_gabrielgoren,63,0.00011421720409154597,-0.00011421728703619322,0.06238203736131945,450.18100000000004,-117.18100000000004
63,646.889,1020.58,333,0,0,2,1,0,1,vft_gabrielgoren,64,0.00020141782048636403,-0.00020141782048636403,0.06405030832934228,373.69100000000003,-40.69100000000003
64,700.362,1066.32,333,0,0,2,1,0,1,vft_gabrielgoren,65,0.00012102849143116437,-0.00012102849143116437,0.06246778913141193,365.95799999999997,-32.95799999999997
65,844.605,1219.79,333,0,0,2,1,0,1,vft_gabrielgoren,66,0.00027155445530665113,-0.00027155445530665113,0.06765380356251621,375.18499999999995,-42.184999999999945
66,637.6419999999999,1046.82,333,0,0,2,1,0,1,vft_gabrielgoren,67,0.00016836654902765752,-0.00016836654902765752,0.06337515849161719,409.178,-76.178
67,823.3580000000001,1223.54,333,0,0,2,1,0,1,vft_gabrielgoren,68,0.0002011051593140956,-0.0002011051593140956,0.06423213868196727,400.1819999999999,-67.1819999999999
68,922.323,1229.27,333,0,0,2,1,0,1,vft_gabrielgoren,69,0.00018097057480225394,-0.00018097057480225394,0.06400235197514892,306.947,26.052999999999997
69,680.3860000000001,1086.82,333,0,0,2,1,0,1,vft_gabrielgoren,70,0.000190846007011412,-0.000190846007011412,0.06266921353294841,406.43399999999986,-73.43399999999986
70,753.8389999999999,1080.3,333,0,0,2,1,0,1,vft_gabrielgoren,71,7.403412155008651e-05,-7.403412155008651e-05,0.0615641704808676,326.461,6.538999999999987
71,757.127,1058.57,333,0,0,2,1,0,1,vft_gabrielgoren,72,0.00012676449937676598,-0.00012676449937676598,0.0620291541878707,301.443,31.557000000000016
72,846.613,1226.55,333,0,0,2,1,0,1,vft_gabrielgoren,73,0.00014758596085765897,-0.00014758596085765897,0.06208361737736774,379.9369999999999,-46.9369999999999
73,830.86,1214.05,333,0,0,2,1,0,1,vft_gabrielgoren,74,7.150863505305876e-05,-7.150934089675716e-05,0.06160111378335331,383.18999999999994,-50.18999999999994
74,869.335,1200.03,333,0,0,2,1,0,1,vft_gabrielgoren,75,1.6683182328783293e-05,-1.6861631031424315e-05,0.06145419990471538,330.69499999999994,2.3050000000000637
75,833.3660000000001,1158.98,333,0,0,2,1,0,1,vft_gabrielgoren,76,-6.048346762303452e-07,-2.9686606017593797e-05,0.06159601099914197,325.6139999999999,7.386000000000081
76,700.671,984.622,333,0,0,2,1,0,1,vft_gabrielgoren,77,-1.5571753993739e-05,-2.0399691759812815e-05,0.06135099392377287,283.9509999999999,49.04900000000009
77,678.1360000000001,1029.32,333,0,0,2,1,0,1,vft_gabrielgoren,78,0.00012010837755941053,-0.00012010849100169317,0.06320853149184363,351.18399999999986,-18.183999999999855
78,1128.58,1469.52,333,0,0,2,1,0,1,vft_gabrielgoren,79,6.849433557550635e-05,-6.84944137263877e-05,0.061804243531453106,340.94000000000005,-7.940000000000055
79,834.8580000000001,1258.04,333,0,0,2,1,0,1,vft_gabrielgoren,80,2.3604474437563034e-05,-2.3695375165392522e-05,0.06147989812638568,423.1819999999999,-90.1819999999999
80,870.8560000000001,1217.8,333,0,0,2,1,0,1,vft_gabrielgoren,81,6.836256848011428e-05,-6.836502281424802e-05,0.062046370597925074,346.94399999999985,-13.943999999999846
81,706.882,1134.56,333,0,0,2,1,0,1,vft_gabrielgoren,82,6.910075476384601e-05,-6.950759433750572e-05,0.061651672338438525,427.678,-94.678
82,711.382,1077.42,333,0,0,2,1,0,1,vft_gabrielgoren,83,6.731696900349798e-05,-6.731696900349798e-05,0.06165684482408077,366.0380000000001,-33.038000000000125
83,693.383,995.582,333,0,0,2,1,0,1,vft_gabrielgoren,84,8.419913288646199e-05,-8.419913288646199e-05,0.061679882784704536,302.19899999999996,30.801000000000045
84,842.8560000000001,1194.3,333,0,0,2,1,0,1,vft_gabrielgoren,85,1.9778647791659943e-05,-1.9779065304508188e-05,0.06142552618122393,351.44399999999985,-18.443999999999846
85,833.806,1198.25,333,0,0,2,1,0,1,vft_gabrielgoren,86,9.198817810006901e-05,-9.198830531944446e-05,0.06177636687581187,364.44399999999996,-31.44399999999996
86,794.37,1231.55,333,0,0,2,1,0,1,vft_gabrielgoren,87,3.14351698573983e-05,-3.14351698573983e-05,0.06151365779582486,437.17999999999995,-104.17999999999995
87,756.873,1111.56,333,0,0,2,1,0,1,vft_gabrielgoren,88,6.0099818561907e-05,-6.009994124614552e-05,0.061499725385144755,354.6869999999999,-21.686999999999898
88,663.403,1083.09,333,0,0,2,1,0,1,vft_gabrielgoren,89,5.6579231086216055e-05,-5.657924405170075e-05,0.06135950882618036,419.6869999999999,-86.6869999999999
89,770.6139999999999,1177.29,333,0,0,2,1,0,1,vft_gabrielgoren,90,5.410852180281047e-05,-5.410852180281047e-05,0.06211800657726038,406.67600000000004,-73.67600000000004
90,536.643,1351.25,333,60,1,3,1,0,1,vft_gabrielgoren,91,-0.0013772554216383566,0.0013772554216383566,0.10023807855004492,814.607,-481.60699999999997
91,1122.81,1740.45,333,60,1,3,1,0,1,vft_gabrielgoren,92,-0.0010006857884779223,0.0010006857884779223,0.08969888275043499,617.6400000000001,-284.6400000000001
92,571.177,1409.51,333,60,1,3,1,0,1,vft_gabrielgoren,93,-0.0019098158372022988,0.0018922434863846865,0.12336791146126493,838.333,-505.33299999999997
93,586.507,1223.63,333,60,1,3,1,0,1,vft_gabrielgoren,94,-0.0003891909469315957,0.0003891909469315957,0.06870570189125505,637.1230000000002,-304.12300000000016
94,787.1139999999999,2454.91,333,60,1,3,1,0,1,vft_gabrielgoren,95,0.00036170267873254845,0.0006301306920722788,0.10488179520369229,1667.7959999999998,-1334.7959999999998
95,714.627,1417.01,333,60,1,3,1,0,1,vft_gabrielgoren,96,-0.0008502404746746071,0.0008502404746746071,0.08765591079794237,702.383,-369.38300000000004
96,714.882,1207.53,333,60,1,3,1,0,1,vft_gabrielgoren,97,-0.0008352538905275319,0.0008352538905275319,0.08456501545814493,492.648,-159.64800000000002
97,633.893,1388.51,333,60,1,3,1,0,1,vft_gabrielgoren,98,-0.001333714978129379,0.001333714978129379,0.09930552109089724,754.617,-421.61699999999996
98,594.1619999999999,1630.43,333,60,1,3,1,0,1,vft_gabrielgoren,99,-0.0005597062399155129,0.0005597062399155129,0.09039027890737855,1036.268,-703.268
99,632.149,0.0,333,60,1,3,1,0,0,vft_gabrielgoren,0,,,,,
100,667.6389999999999,1290.27,333,60,1,3,1,0,1,vft_gabrielgoren,100,-0.0014247002537254032,0.0014247002537254032,0.10046018484848611,622.6310000000001,-289.6310000000001
