trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,939.3960000000001,1678.55,333,0,0,0,1,0,1,vft_hilariob,1,-0.9175392923272527,0.9175394180192318,6.306987291625375,739.1539999999999,406.1539999999999
1,840.658,1495.56,333,0,0,0,1,0,1,vft_hilariob,2,-1.600707209291817,1.600707209291817,6.3050741465267635,654.9019999999999,321.90199999999993
2,991.336,1588.48,333,0,0,0,1,0,1,vft_hilariob,3,-1.9044855284950297,1.9044855284950297,6.270427167734251,597.144,264.144
3,680.422,1312.6,333,0,0,0,1,0,1,vft_hilariob,4,-1.425945685566234,1.425945685566234,6.263816422445233,632.1779999999999,299.1779999999999
4,607.383,1145.54,333,0,0,0,1,0,1,vft_hilariob,5,-1.039183472305251,1.0391835785505361,6.191694649312615,538.1569999999999,205.15699999999993
5,877.372,1361.06,333,0,0,0,1,0,1,vft_hilariob,6,-0.9552476314465098,0.9552520931271875,6.314943038018865,483.688,150.688
6,863.2739999999999,1324.46,333,0,0,0,1,0,1,vft_hilariob,7,-0.7458642767198701,0.7458642767198701,6.225620165953739,461.18600000000015,128.18600000000015
7,968.913,1347.32,333,0,0,0,1,0,1,vft_hilariob,8,-0.580526925345885,0.580526925345885,6.191892986178026,378.4069999999999,45.406999999999925
8,475.213,885.865,333,0,0,0,1,0,1,vft_hilariob,9,-1.1318211758632604,1.1319100579302335,6.326554057208789,410.652,77.65199999999999
9,769.153,1169.1,333,0,0,0,1,0,1,vft_hilariob,10,-0.7885886329333524,0.7885891478992799,6.255863230193489,399.9469999999999,66.94699999999989
10,538.193,977.383,333,0,0,0,1,0,1,vft_hilariob,11,-1.4775235503115818,1.477523624609681,6.186590695523421,439.19000000000005,106.19000000000005
11,1039.61,1427.3,333,0,0,0,1,0,1,vft_hilariob,12,-0.597645481932555,0.5976460414206048,6.130968871934295,387.69000000000005,54.690000000000055
12,1160.34,1571.03,333,0,0,0,1,0,1,vft_hilariob,13,-0.90084927221512,0.9008617352746495,6.1755207307771,410.69000000000005,77.69000000000005
13,764.6160000000001,1148.56,333,0,0,0,1,0,1,vft_hilariob,14,-1.1029517880553652,1.1029517880553652,6.175301427174681,383.94399999999985,50.943999999999846
14,418.457,738.154,333,0,0,0,1,0,1,vft_hilariob,15,-0.43100207285499975,0.432356957279437,6.212788467673932,319.697,-13.302999999999997
15,656.6139999999999,975.375,333,0,0,0,1,0,1,vft_hilariob,16,-1.172545972741255,1.172545972741255,6.300369774351628,318.7610000000001,-14.238999999999919
16,726.168,1044.87,333,0,0,0,1,0,1,vft_hilariob,17,-0.5839355432136115,0.5839355432136115,6.145587926323529,318.7019999999999,-14.298000000000116
17,555.111,899.808,333,0,0,0,1,0,1,vft_hilariob,18,-1.17916132434774,1.17916132434774,6.201593123604763,344.697,11.697000000000003
18,957.863,1301.06,333,0,0,0,1,0,1,vft_hilariob,19,-0.2874880637728497,0.28790512955373465,6.2070561919990705,343.1969999999999,10.196999999999889
19,948.6060000000001,1257.31,333,0,0,0,1,0,1,vft_hilariob,20,-0.41303837639425994,0.44139186492738114,6.304200913425706,308.70399999999984,-24.296000000000163
20,866.813,1165.02,333,0,0,0,1,0,1,vft_hilariob,21,-0.7292388237561201,0.7292388237561201,6.168891316284572,298.207,-34.793000000000006
21,547.665,850.618,333,0,0,0,1,0,1,vft_hilariob,22,-0.5966200702971798,0.5966200702971798,6.184140714437207,302.9530000000001,-30.046999999999912
22,653.2130000000001,986.618,333,0,0,0,1,0,1,vft_hilariob,23,-0.20885387852184023,0.22642732770140778,6.226585149783167,333.405,0.4049999999999727
23,745.2330000000001,1030.16,333,0,0,0,1,0,1,vft_hilariob,24,-0.37208021348125053,0.3720808127793057,6.15869948899487,284.927,-48.07299999999998
24,667.3960000000001,1077.83,333,0,0,0,1,0,1,vft_hilariob,25,-0.7373100891717848,0.7373100891717848,6.196271172186834,410.43399999999986,77.43399999999986
25,681.1469999999999,1013.6,333,0,0,0,1,0,1,vft_hilariob,26,-0.143580054214677,0.23590032273272835,6.192936524291588,332.4530000000001,-0.5469999999999118
26,783.0089999999999,1139.71,333,0,0,0,1,0,1,vft_hilariob,27,-0.7764844645189999,0.7764928533276455,6.194243229660998,356.70100000000014,23.701000000000136
27,805.9989999999999,1205.48,333,0,0,0,1,0,1,vft_hilariob,28,-0.48626574490044966,0.4862658039460941,6.174666035084012,399.4810000000001,66.48100000000011
28,525.396,914.352,333,0,0,0,1,0,1,vft_hilariob,29,-0.09918375584689933,0.13630251255336964,6.134289096455545,388.956,55.95600000000002
29,501.87,850.566,333,0,0,0,1,0,1,vft_hilariob,30,0.18292142205030998,0.21650220753156402,6.226446054347754,348.696,15.696000000000026
30,593.899,1343.75,333,0,0,1,1,1,1,vft_hilariob,31,7.187608772090353,17.93385156879996,20.497909103568013,749.851,416.851
31,498.186,1015.35,333,0,0,1,1,1,1,vft_hilariob,32,5.68385940308755,6.890150759344456,10.00190008807365,517.164,184.164
32,553.654,1000.87,333,0,0,1,1,1,1,vft_hilariob,33,0.32992125886915485,1.0589116752071703,6.575978010009644,447.216,114.21600000000001
33,786.365,1119.06,333,0,0,1,1,1,1,vft_hilariob,34,0.6124705937168998,0.6772795797004046,6.332658371719589,332.69499999999994,-0.30500000000006366
34,760.388,1424.28,333,0,0,1,1,1,1,vft_hilariob,35,0.3692200603681944,0.7999423282530692,7.707040059588024,663.8919999999999,330.89199999999994
35,707.971,1086.45,333,0,0,1,1,1,1,vft_hilariob,36,2.031253645173565,2.031253645173565,6.343549744582512,378.47900000000004,45.47900000000004
36,687.362,1171.28,333,0,0,1,1,1,1,vft_hilariob,37,4.4412760520069305,4.446777533633342,8.555397464119388,483.918,150.918
37,930.525,1251.47,333,0,0,1,1,1,1,vft_hilariob,38,0.6373745182328211,0.6625890150097788,6.164064499078774,320.94500000000005,-12.05499999999995
38,812.586,1456.24,333,0,0,1,1,1,1,vft_hilariob,39,4.918970579505578,5.0452089149796775,7.954876001955492,643.654,310.654
39,1190.04,1557.97,333,0,0,1,1,1,1,vft_hilariob,40,0.8058549196722067,0.8058549196722067,6.5023663767870445,367.93000000000006,34.930000000000064
40,580.1469999999999,928.336,333,0,0,1,1,1,1,vft_hilariob,41,1.429034997918528,1.429034997918528,6.304156645615536,348.1890000000001,15.189000000000078
41,669.488,1111.66,333,0,0,1,1,1,1,vft_hilariob,42,-0.047789819727183325,1.7770186221278643,7.477851747210521,442.172,109.17200000000003
42,504.89300000000003,869.6210000000001,333,0,0,1,1,1,1,vft_hilariob,43,-0.31582600089825796,0.9395568099188594,6.896132895941694,364.72800000000007,31.728000000000065
43,657.3839999999999,1087.56,333,0,0,1,1,1,1,vft_hilariob,44,-1.984581643864885,3.2255516106085063,7.976661212453842,430.17600000000004,97.17600000000004
44,506.14099999999996,1053.3,333,0,0,1,1,1,1,vft_hilariob,45,11.60409644525605,13.625938905884418,12.694214033620769,547.159,214.159
45,799.618,1417.01,333,0,0,1,1,1,1,vft_hilariob,46,-1.7984084642300016,2.0871604857170105,7.483663805041838,617.3919999999999,284.39199999999994
46,608.6419999999999,911.087,333,0,0,1,1,1,1,vft_hilariob,47,-0.21341487840173062,0.6050137533178211,6.165648208118806,302.44500000000005,-30.55499999999995
47,523.404,1024.82,333,0,0,1,1,1,1,vft_hilariob,48,0.7319091260690522,2.7797235375887612,9.455454352428234,501.41599999999994,168.41599999999994
48,476.412,828.846,333,0,0,1,1,1,1,vft_hilariob,49,-1.558078647517275,1.5607183582401545,6.310516596090921,352.434,19.434000000000026
49,603.1419999999999,1149.8,333,0,0,1,1,1,1,vft_hilariob,50,-0.3654850874264648,3.2409428663559288,9.112184043157775,546.658,213.65800000000002
50,483.913,773.612,333,0,0,1,1,1,1,vft_hilariob,51,-1.822529380962035,1.8225298719472653,6.4742939655111815,289.69899999999996,-43.301000000000045
51,873.092,1396.25,333,0,0,1,1,1,1,vft_hilariob,52,4.4962895922304895,4.641425650936046,9.2048845844353,523.158,190.15800000000002
52,621.1519999999999,986.087,333,0,0,1,1,1,1,vft_hilariob,53,-3.71294690748434,3.71294690748434,6.662886296627686,364.93500000000006,31.93500000000006
53,417.92199999999997,721.117,333,0,0,1,1,1,1,vft_hilariob,54,-2.54090519317491,2.54090519317491,6.687553079797986,303.195,-29.805000000000007
54,588.643,927.081,333,0,0,1,1,1,1,vft_hilariob,55,-3.937029798320184,3.937029798320184,6.720669589296627,338.438,5.437999999999988
55,632.304,989.237,333,0,0,1,1,1,1,vft_hilariob,56,-1.9489454647495494,1.9489454647495494,6.397745462951784,356.933,23.932999999999993
56,490.91,852.845,333,0,0,1,1,1,1,vft_hilariob,57,0.44799547474449875,0.7992783677874302,6.333133018677673,361.935,28.935000000000002
57,733.867,1272.02,333,0,0,1,1,1,1,vft_hilariob,58,1.2021803674238818,2.261581189709859,8.488359400602794,538.153,205.15300000000002
58,506.275,837.705,333,0,0,1,1,1,1,vft_hilariob,59,-3.0974841445498598,3.0974841445498598,6.4974832003474825,331.43000000000006,-1.5699999999999363
59,400.926,721.368,333,0,0,1,1,1,1,vft_hilariob,60,-0.43068392234855,0.4328461879577501,6.167601350881277,320.44200000000006,-12.557999999999936
60,483.61699999999996,842.8,333,0,0,2,1,0,1,vft_hilariob,61,-2.5227111786238154,2.5227111786238154,6.889929455111075,359.183,26.182999999999993
61,437.651,811.582,333,0,0,2,1,0,1,vft_hilariob,62,-2.046647949439186,2.046647949439186,6.63289051796548,373.931,40.93099999999998
62,724.6160000000001,1047.56,333,0,0,2,1,0,1,vft_hilariob,63,-1.3210170899012006,1.3210170899012006,6.255724990932861,322.94399999999985,-10.056000000000154
63,779.701,1074.69,333,0,0,2,1,0,1,vft_hilariob,64,-1.6211089785157355,1.6211089785157355,6.570895824901777,294.98900000000003,-38.01099999999997
64,583.872,912.803,333,0,0,2,1,0,1,vft_hilariob,65,-1.4259169945386057,1.4259169945386057,6.529964679146227,328.93100000000004,-4.06899999999996
65,542.896,858.5880000000001,333,0,0,2,1,0,1,vft_hilariob,66,-1.747435808483949,1.747435808483949,6.728476750686813,315.6920000000001,-17.30799999999988
66,776.122,1058.8,333,0,0,2,1,0,1,vft_hilariob,67,-0.6882970786014997,0.6882970786014997,6.226175984896473,282.678,-50.322
67,630.631,931.826,333,0,0,2,1,0,1,vft_hilariob,68,-0.9035133535792501,0.9035133535792501,6.4517272356553175,301.19500000000005,-31.80499999999995
68,537.648,857.087,333,0,0,2,1,0,1,vft_hilariob,69,-1.6321461480734794,1.6321461480734794,6.263618945646791,319.43899999999996,-13.561000000000035
69,471.162,799.8510000000001,333,0,0,2,1,0,1,vft_hilariob,70,-1.2176673979973456,1.2176673979973456,6.49745342836815,328.68900000000014,-4.310999999999865
70,614.974,960.201,333,0,0,2,1,0,1,vft_hilariob,71,-0.5569274096576396,0.5569278578788419,6.396467036842495,345.227,12.226999999999975
71,632.826,914.585,333,0,0,2,1,0,1,vft_hilariob,72,-1.1764137235319148,1.1764137235319148,6.3297113218759655,281.759,-51.240999999999985
72,752.86,1069.05,333,0,0,2,1,0,1,vft_hilariob,73,-1.1063177201631347,1.1063177201631347,6.251591457917006,316.18999999999994,-16.81000000000006
73,776.37,1098.06,333,0,0,2,1,0,1,vft_hilariob,74,-0.92624845183108,0.9262488015490591,6.199583114462458,321.68999999999994,-11.31000000000006
74,393.925,711.12,333,0,0,2,1,0,1,vft_hilariob,75,-0.12525146545748828,0.17244965103170332,6.225415553562111,317.195,-15.805000000000007
75,877.319,1221.76,333,0,0,2,1,0,1,vft_hilariob,76,-0.4541388079441601,0.45894374183243836,6.393255302761867,344.44100000000003,11.441000000000031
76,545.1469999999999,956.57,333,0,0,2,1,0,1,vft_hilariob,77,0.09602586505263058,0.49664007337578786,6.326052476850835,411.4230000000001,78.42300000000012
77,453.645,760.6260000000001,333,0,0,2,1,0,1,vft_hilariob,78,-0.6541843444295139,0.6541843444295139,6.312734120507761,306.9810000000001,-26.01899999999989
78,516.4019999999999,837.341,333,0,0,2,1,0,1,vft_hilariob,79,-0.33076949272741357,0.3391218779715841,6.18270248733098,320.9390000000001,-12.060999999999922
79,514.904,833.1010000000001,333,0,0,2,1,0,1,vft_hilariob,80,-0.4707071054852248,0.47071116847193945,6.2031525367907605,318.1970000000001,-14.802999999999884
80,529.45,867.82,333,0,0,2,1,0,1,vft_hilariob,81,-0.18525106584173512,0.2035229076042147,6.174957637743638,338.37,5.3700000000000045
81,626.629,924.072,333,0,0,2,1,0,1,vft_hilariob,82,-0.7384157744292499,0.7384157744292499,6.213109519068376,297.443,-35.557000000000016
82,418.12800000000004,747.065,333,0,0,2,1,0,1,vft_hilariob,83,-0.6270798066122945,0.6303497745882319,6.270397932841398,328.937,-4.062999999999988
83,542.1469999999999,870.577,333,0,0,2,1,0,1,vft_hilariob,84,-0.32350266374164605,0.3235814873028917,6.282252734086096,328.43000000000006,-4.569999999999936
84,429.667,756.8530000000001,333,0,0,2,1,0,1,vft_hilariob,85,-0.410026536864616,0.4106030869755,6.317962429478634,327.1860000000001,-5.813999999999908
85,398.175,662.3739999999999,333,0,0,2,1,0,1,vft_hilariob,86,-0.3209139806892751,0.3209511927975615,6.194938184757057,264.1989999999999,-68.8010000000001
86,541.9069999999999,838.352,333,0,0,2,1,0,1,vft_hilariob,87,-0.5715831289511848,0.5715835151435872,6.264457282758953,296.44500000000005,-36.55499999999995
87,490.86800000000005,786.332,333,0,0,2,1,0,1,vft_hilariob,88,-0.9942188790096447,0.9942191059783517,6.270385023442993,295.46399999999994,-37.53600000000006
88,419.41900000000004,697.617,333,0,0,2,1,0,1,vft_hilariob,89,-0.3949421789513352,0.3949421789513352,6.178011502995378,278.1979999999999,-54.80200000000008
89,610.882,912.076,333,0,0,2,1,0,1,vft_hilariob,90,-0.51855024672811,0.51855024672811,6.183624948717404,301.1940000000001,-31.805999999999926
90,678.435,1573.12,333,60,1,3,1,0,1,vft_hilariob,91,21.997353727178755,21.997353727178755,12.8365793524455,894.685,561.685
91,559.14,1414.99,333,60,1,3,1,0,1,vft_hilariob,92,13.071556506504542,13.071556506504542,9.851075374845232,855.85,522.85
92,444.417,1289.78,333,60,1,3,1,0,1,vft_hilariob,93,9.487478240940202,9.487478240940202,8.542017383051238,845.363,512.363
93,509.165,941.289,333,60,1,3,1,0,1,vft_hilariob,94,9.4701935164507,9.4701935164507,8.663309204097894,432.12399999999997,99.12399999999997
94,539.649,948.321,333,60,1,3,1,0,1,vft_hilariob,95,3.8687033395239547,3.8687033395239547,7.854937415981814,408.672,75.67200000000003
95,319.678,834.346,333,60,1,3,1,0,1,vft_hilariob,96,9.508798129595096,9.508798129595096,9.061723029571516,514.668,181.668
96,842.168,1241.88,333,60,1,3,1,0,1,vft_hilariob,97,4.562776580214033,4.562776580214033,7.285059828409162,399.7120000000001,66.7120000000001
