trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,676.6460000000001,1256.56,333,0,0,0,1,0,1,vft_melisavinograd,1,-0.6735758550006389,0.9323833704131359,6.270652922330599,579.9139999999999,-246.91399999999987
1,500.904,1007.09,333,0,0,0,1,0,1,vft_melisavinograd,2,-0.6470448877618155,0.7626918342972435,6.360311794369892,506.18600000000004,-173.18600000000004
2,466.67800000000005,881.36,333,0,0,0,1,0,1,vft_melisavinograd,3,-0.4025646021493023,0.4576781756975252,6.410631386078972,414.68199999999996,-81.68199999999996
3,625.904,1072.3,333,0,0,0,1,0,1,vft_melisavinograd,4,0.20587974299296335,0.2945938205060068,6.143382078038647,446.39599999999996,-113.39599999999996
4,234.94799999999998,669.883,333,0,0,0,1,0,1,vft_melisavinograd,5,-0.8013470334011246,0.8013470334011246,6.169665684590544,434.93500000000006,-101.93500000000006
5,470.42900000000003,886.8639999999999,333,0,0,0,1,0,1,vft_melisavinograd,6,-0.11692640526465958,0.2694218017418232,6.165556971268867,416.4349999999999,-83.43499999999989
6,1224.41,1600.67,333,0,0,0,1,0,1,vft_melisavinograd,7,-0.6409445243185352,0.6409461192650316,6.169604807485779,376.26,-43.25999999999999
7,417.686,813.1239999999999,333,0,0,0,1,0,1,vft_melisavinograd,8,-0.1339143550909149,0.1489440456645737,6.1637000923092184,395.43799999999993,-62.43799999999993
8,468.41,853.832,333,0,0,0,1,0,1,vft_melisavinograd,9,-0.14606655670679047,0.3082962535555619,6.166152689872751,385.42199999999997,-52.42199999999997
9,522.399,932.3860000000001,333,0,0,0,1,0,1,vft_melisavinograd,10,-0.07344238331420089,0.22208317118564413,6.187784304727975,409.9870000000001,-76.98700000000008
10,477.926,904.3480000000001,333,0,0,0,1,0,1,vft_melisavinograd,11,-0.19727646556699985,0.2120403866090225,6.1306586734303625,426.4220000000001,-93.42200000000008
11,575.19,953.528,333,0,0,0,1,0,1,vft_melisavinograd,12,-0.07299516599067245,0.09800420402420396,6.117674788345713,378.33799999999997,-45.337999999999965
12,511.165,919.263,333,0,0,0,1,0,1,vft_melisavinograd,13,-0.40270496260053984,0.40270496260053984,6.110905678412257,408.098,-75.09800000000001
13,649.4019999999999,1104.33,333,0,0,0,1,0,1,vft_melisavinograd,14,-0.442883818336414,0.442883818336414,6.189382986215799,454.928,-121.928
14,476.659,901.845,333,0,0,0,1,0,1,vft_melisavinograd,15,-0.11604794717291944,0.18923339765729852,6.24366005250597,425.18600000000004,-92.18600000000004
15,475.144,880.815,333,0,0,0,1,0,1,vft_melisavinograd,16,-0.20597224655092497,0.20710774997460618,6.14937105718688,405.67100000000005,-72.67100000000005
16,992.577,1326.03,333,0,0,0,1,0,1,vft_melisavinograd,17,-0.07088597128497702,0.122664122767598,6.10206439130338,333.453,-0.45299999999997453
17,465.67900000000003,906.3610000000001,333,0,0,0,1,0,1,vft_melisavinograd,18,-0.2049627644476556,0.20832972814520168,6.145797645510731,440.6820000000001,-107.68200000000007
18,512.906,988.584,333,0,0,0,1,0,1,vft_melisavinograd,19,0.3902290437572399,0.3902290437572399,6.148435731373915,475.678,-142.678
19,399.714,873.8760000000001,333,0,0,0,1,0,1,vft_melisavinograd,20,-0.30444551856876,0.30446777563330324,6.121866222470784,474.1620000000001,-141.1620000000001
20,415.92699999999996,907.794,333,0,0,0,1,0,1,vft_melisavinograd,21,-0.4677870661622145,0.4677870661622145,6.197096160021087,491.867,-158.86700000000002
21,769.638,1225.53,333,0,0,0,1,0,1,vft_melisavinograd,22,-0.5781152630125069,0.5781152630125069,6.127878115053006,455.89199999999994,-122.89199999999994
22,410.837,847.982,333,0,0,0,1,0,1,vft_melisavinograd,23,-0.2558219234352248,0.2558239162998346,6.166831199717985,437.145,-104.14499999999998
23,497.022,960.0010000000001,333,0,0,0,1,0,1,vft_melisavinograd,24,-0.6744648444218211,0.6744654213793977,6.136108883950048,462.9790000000001,-129.9790000000001
24,668.171,1127.32,333,0,0,0,1,0,1,vft_melisavinograd,25,-0.47098171675999845,0.47098171675999845,6.17355853583066,459.1489999999999,-126.14899999999989
25,589.161,1057.32,333,0,0,0,1,0,1,vft_melisavinograd,26,-0.1278895208340099,0.17991465018353625,6.225700416299347,468.159,-135.159
26,921.327,1327.51,333,0,0,0,1,0,1,vft_melisavinograd,27,-0.5339799877640178,0.5339801636592904,6.160406911274696,406.183,-73.18299999999999
27,679.3919999999999,1109.08,333,0,0,0,1,0,1,vft_melisavinograd,28,-0.43748717905472495,0.43751308648026943,6.151679680841591,429.688,-96.68799999999999
28,792.113,1198.55,333,0,0,0,1,0,1,vft_melisavinograd,29,-0.5471588116129951,0.5516707654617977,6.174853233206102,406.4369999999999,-73.4369999999999
29,484.158,896.585,333,0,0,0,1,0,1,vft_melisavinograd,30,-0.3008332920058948,0.30083373333844454,6.164013555468023,412.427,-79.42700000000002
30,704.118,1616.24,333,0,0,1,1,1,1,vft_melisavinograd,31,4.417264735050666,5.865755152127805,16.113965312951766,912.122,-579.122
31,692.8510000000001,1367.3,333,0,0,1,1,1,1,vft_melisavinograd,32,1.1867003492189319,2.964618549864378,8.802697338085151,674.4489999999998,-341.44899999999984
32,571.1569999999999,1188.91,333,0,0,1,1,1,1,vft_melisavinograd,33,3.3670655488381565,4.620544067760559,9.498027358811818,617.7530000000002,-284.75300000000016
33,538.15,1115.04,333,0,0,1,1,1,1,vft_melisavinograd,34,2.6596172511285543,4.369610683165253,9.233807166737598,576.89,-243.89
34,493.657,916.842,333,0,0,1,1,1,1,vft_melisavinograd,35,1.6585059652410798,2.8645871890614725,6.949779216002147,423.185,-90.185
35,522.161,1097.51,333,0,0,1,1,1,1,vft_melisavinograd,36,3.6231094823493524,4.75253514889085,9.458010565266163,575.349,-242.34900000000005
36,540.419,1066.07,333,0,0,1,1,1,1,vft_melisavinograd,37,0.09299663194455077,2.049022891071333,7.638985897329883,525.651,-192.65099999999995
37,465.204,1004.33,333,0,0,1,1,1,1,vft_melisavinograd,38,-0.2244727601638139,2.6700423397471686,7.743904821932844,539.126,-206.12599999999998
38,516.0169999999999,1025.91,333,0,0,1,1,1,1,vft_melisavinograd,39,-2.0596520844480484,2.0783329798703316,6.747142744147407,509.89300000000014,-176.89300000000014
39,510.17199999999997,932.5889999999999,333,0,0,1,1,1,1,vft_melisavinograd,40,1.4359842330596901,2.9450998252760665,7.297667614139947,422.417,-89.41699999999997
40,692.127,1221.79,333,0,0,1,1,1,1,vft_melisavinograd,41,-0.7980852675370115,2.2068368820864435,7.71604737555651,529.663,-196.663
41,568.1469999999999,1082.82,333,0,0,1,1,1,1,vft_melisavinograd,42,1.008428756348815,1.3584427714459695,6.581699019756142,514.673,-181.673
42,518.644,981.836,333,0,0,1,1,1,1,vft_melisavinograd,43,4.869613743778351,5.403697563181156,8.489304089382738,463.192,-130.192
43,509.67800000000005,1089.08,333,0,0,1,1,1,1,vft_melisavinograd,44,4.0332287536461795,5.476063289136823,9.223971158974022,579.4019999999998,-246.40199999999982
44,512.933,999.331,333,0,0,1,1,1,1,vft_melisavinograd,45,-1.9838845646938708,2.1482398328805545,6.957825382683028,486.398,-153.39800000000002
45,483.149,957.836,333,0,0,1,1,1,1,vft_melisavinograd,46,3.2256378042056197,3.501267793373352,7.1557057422345665,474.687,-141.687
46,525.091,1102.74,333,0,0,1,1,1,1,vft_melisavinograd,47,1.3949703260029143,3.0824249453619124,7.90338598871852,577.649,-244.649
47,520.91,1056.33,333,0,0,1,1,1,1,vft_melisavinograd,48,-0.5951521259429394,1.0859264643966582,6.778299639336332,535.42,-202.41999999999996
48,490.63699999999994,979.53,333,0,0,1,1,1,1,vft_melisavinograd,49,3.0352771863664847,3.739207009373066,7.468479182325888,488.89300000000003,-155.89300000000003
