trial,first_beep,second_beep,period,angle,vmr,blockN,sound,force_type,trialSuccess,sujeto,trialSuccessN,area_error,area_error_abs,d,reproduced_period,temporal_error
0,471.43300000000005,1193.32,333,0,0,0,1,0,1,vft_yamila,1,-0.7179581643291973,0.7179581643291973,6.266322247668395,721.887,388.88699999999994
1,474.945,1252.83,333,0,0,0,1,0,1,vft_yamila,2,-0.398505973142903,0.398506112226339,6.262122153019931,777.885,444.885
2,457.694,1079.53,333,0,0,0,1,0,1,vft_yamila,3,-0.7441624297227949,0.7441625757223047,6.151034067034985,621.836,288.836
3,761.8889999999999,1313.82,333,0,0,0,1,0,1,vft_yamila,4,-0.5381152965265072,0.5983143354818239,6.212441470705979,551.931,218.93100000000004
4,445.92699999999996,1026.95,333,0,0,0,1,0,1,vft_yamila,5,-0.39587050954636505,0.395882622163666,6.135612713388132,581.0230000000001,248.02300000000014
5,401.964,1008.89,333,0,0,0,1,0,1,vft_yamila,6,-0.2069585859512964,0.2617656447118314,6.166990107091424,606.9259999999999,273.92599999999993
6,455.19300000000004,1056.11,333,0,0,0,1,0,1,vft_yamila,7,-0.36565862619388023,0.36566025500900723,6.17294043770263,600.9169999999999,267.9169999999999
7,507.885,1114.06,333,0,0,0,1,0,1,vft_yamila,8,-0.33004920249867964,0.3300500940082638,6.150998223469453,606.175,273.17499999999995
8,456.37,1153.04,333,0,0,0,1,0,1,vft_yamila,9,-0.6574021686972495,0.6574071981026596,6.171768762747351,696.67,363.66999999999996
9,355.246,1126.5,333,0,0,0,1,0,1,vft_yamila,10,-0.7057557872183176,0.7065949206028431,6.20628597667541,771.254,438.254
10,455.94599999999997,1033.37,333,0,0,0,1,0,1,vft_yamila,11,-0.248487817928849,0.24915484303108215,6.138675756801874,577.424,244.42399999999998
11,444.441,1173.83,333,0,0,0,1,0,1,vft_yamila,12,-1.065240839364791,1.0652425834600003,6.197200218752056,729.3889999999999,396.3889999999999
12,427.94199999999995,1100.62,333,0,0,0,1,0,1,vft_yamila,13,-0.5922538495633024,0.5922539220262462,6.20611759178202,672.6779999999999,339.6779999999999
13,434.668,1001.1,333,0,0,0,1,0,1,vft_yamila,14,0.14186759083275305,0.16455680168162407,6.142978108773838,566.432,233.43200000000002
14,444.43800000000005,1102.34,333,0,0,0,1,0,1,vft_yamila,15,-0.7037872890239374,0.7037877478223405,6.181465149471766,657.9019999999998,324.9019999999998
15,476.18800000000005,1242.82,333,0,0,0,1,0,1,vft_yamila,16,-0.36674341082752104,0.37034863904448256,6.15554745463232,766.6319999999998,433.63199999999983
16,471.19,1261.33,333,0,0,0,1,0,1,vft_yamila,17,-0.421447865697631,0.4538015141192883,6.212081127901312,790.1399999999999,457.1399999999999
17,470.901,1071.35,333,0,0,0,1,0,1,vft_yamila,18,-0.4183965782092799,0.4184101581939074,6.149089072466923,600.4489999999998,267.44899999999984
18,496.413,1116.33,333,0,0,0,1,0,1,vft_yamila,19,-0.6649091413420151,0.6649145953483324,6.1577976879638845,619.9169999999999,286.9169999999999
19,455.18699999999995,1038.11,333,0,0,0,1,0,1,vft_yamila,20,-0.4870580804768229,0.48705820263233296,6.136855826387558,582.923,249.923
20,1127.07,1689.73,333,0,0,0,1,0,1,vft_yamila,21,-0.22111809819651698,0.3186421322615672,6.147580614768019,562.6600000000001,229.66000000000008
